joint,x,y,z,jointname
0,-201.3575,406.05807,1548.2628,HEAD
1,-184.79146,140.82745,1572.91,NECK
2,-312.37497,134.53333,1579.7703,LEFT_SHOULDER
3,-57.20794,147.12157,1566.0498,RIGHT_SHOULDER
4,-485.86615,21.706833,1578.5009,LEFT_ELBOW
5,121.10934,41.12982,1543.8738,RIGHT_ELBOW
6,-563.8851,249.3904,1428.623,LEFT_HAND
7,195.21211,230.09268,1372.14,RIGHT_HAND
8,-178.76936,-22.219002,1535.3143,TORSO
9,-265.3833,-189.8355,1502.6997,LEFT_HIP
10,-80.11125,-180.6954,1492.7375,RIGHT_HIP
11,-266.68423,-443.2477,1557.34,LEFT_KNEE
12,-54.09957,-406.12305,1582.3398,RIGHT_KNEE
13,-224.72935,-721.99365,1661.6986,LEFT_FOOT
14,-117.83235,-720.84314,1590.7952,RIGHT_FOOT
0,-202.53012,407.72104,1548.6726,HEAD
1,-177.69957,160.52803,1589.4487,NECK
2,-304.46082,156.25293,1598.4531,LEFT_SHOULDER
3,-50.938297,164.80312,1580.4443,RIGHT_SHOULDER
4,-489.21295,5.35112,1565.5974,LEFT_ELBOW
5,128.04729,60.10943,1552.3091,RIGHT_ELBOW
6,-569.0405,225.96185,1423.0193,LEFT_HAND
7,193.1673,243.6929,1387.7554,RIGHT_HAND
8,-175.44284,-1.639819,1544.2242,TORSO
9,-267.48486,-166.98795,1505.6982,LEFT_HIP
10,-78.88739,-160.6274,1492.3013,RIGHT_HIP
11,-283.7276,-456.21448,1559.1804,LEFT_KNEE
12,-48.398827,-396.51962,1574.2711,RIGHT_KNEE
13,-231.96681,-749.2828,1658.3317,LEFT_FOOT
14,-117.8645,-702.53284,1585.662,RIGHT_FOOT
0,-203.35661,408.43518,1549.0452,HEAD
1,-179.1303,162.27275,1590.1206,NECK
2,-307.4197,157.99702,1600.9113,LEFT_SHOULDER
3,-50.840866,166.54846,1579.33,RIGHT_SHOULDER
4,-483.9169,7.6784973,1579.8275,LEFT_ELBOW
5,124.390976,56.99328,1547.2231,RIGHT_ELBOW
6,-563.9376,223.94583,1428.1176,LEFT_HAND
7,186.22426,243.18674,1377.9019,RIGHT_HAND
8,-177.12607,-1.2911128,1549.1376,TORSO
9,-269.36874,-167.9961,1516.0818,LEFT_HIP
10,-80.87495,-161.71385,1500.2273,RIGHT_HIP
11,-276.57037,-458.7308,1553.2421,LEFT_KNEE
12,-49.495438,-406.42056,1579.2836,RIGHT_KNEE
13,-231.80551,-746.8833,1659.5955,LEFT_FOOT
14,-118.345,-701.94324,1599.4203,RIGHT_FOOT
0,-205.31488,410.72162,1551.5161,HEAD
1,-180.24953,164.15562,1589.8276,NECK
2,-308.8558,159.92723,1601.507,LEFT_SHOULDER
3,-51.64323,168.38403,1578.1483,RIGHT_SHOULDER
4,-481.9674,6.8231354,1584.9656,LEFT_ELBOW
5,117.92064,55.134644,1546.455,RIGHT_ELBOW
6,-562.43463,223.90346,1433.4308,LEFT_HAND
7,179.9238,242.89502,1376.095,RIGHT_HAND
8,-178.45499,0.5110183,1550.342,TORSO
9,-271.1394,-166.23993,1519.4365,LEFT_HIP
10,-82.1815,-160.02725,1502.2764,RIGHT_HIP
11,-276.57538,-458.1367,1549.8247,LEFT_KNEE
12,-61.042503,-409.57794,1581.3312,RIGHT_KNEE
13,-212.9681,-732.85315,1683.5336,LEFT_FOOT
14,-113.2132,-705.2395,1612.1014,RIGHT_FOOT
0,-205.61719,411.6725,1550.2833,HEAD
1,-180.11815,160.53705,1589.4674,NECK
2,-307.56036,158.14716,1598.9191,LEFT_SHOULDER
3,-52.67596,162.92694,1580.0157,RIGHT_SHOULDER
4,-475.81088,11.708923,1605.3356,LEFT_ELBOW
5,111.7128,47.063232,1548.211,RIGHT_ELBOW
6,-554.21063,220.03929,1431.1866,LEFT_HAND
7,171.22444,246.85338,1368.9232,RIGHT_HAND
8,-179.85486,-1.5804328,1552.0254,TORSO
9,-268.31342,-165.3617,1521.1633,LEFT_HIP
10,-90.86968,-162.03413,1508.0034,RIGHT_HIP
11,-276.86633,-446.69122,1549.3539,LEFT_KNEE
12,-63.58309,-428.6277,1610.0463,RIGHT_KNEE
13,-210.74205,-723.53186,1685.6699,LEFT_FOOT
14,-104.56737,-704.9321,1623.1703,RIGHT_FOOT
0,-206.70251,412.01974,1551.15,HEAD
1,-180.5011,148.28528,1582.2258,NECK
