joint,x,y,z,jointname,time,voiceover
0,-27.388523,548.145,1683.3652,HEAD,202129,0
1,-48.030792,354.4562,1673.3469,NECK,202129,0
2,-187.51086,361.54407,1671.2329,LEFT_SHOULDER,202129,0
3,91.44929,347.36835,1675.4609,RIGHT_SHOULDER,202129,0
4,-340.76343,226.35167,1725.8809,LEFT_ELBOW,202129,0
5,313.35898,321.19897,1729.9463,RIGHT_ELBOW,202129,0
6,-357.5502,-2.3159485,1628.3024,LEFT_HAND,202129,0
7,360.98495,584.066,1669.118,RIGHT_HAND,202129,0
8,-55.982517,189.24246,1644.0614,TORSO,202129,0
9,-160.5965,28.94075,1613.3108,LEFT_HIP,202129,0
10,32.72802,19.116684,1616.241,RIGHT_HIP,202129,0
11,-159.65178,-343.516,1627.5975,LEFT_KNEE,202129,0
12,61.143173,-322.9342,1684.8203,RIGHT_KNEE,202129,0
13,-201.96635,-654.06274,1590.3203,LEFT_FOOT,202129,0
14,8.113415,-654.839,1739.6721,RIGHT_FOOT,202129,0
0,-26.643444,548.14636,1682.7087,HEAD,202129,0
1,-59.275673,354.97418,1674.9626,NECK,202129,0
2,-209.01735,357.00174,1660.3578,LEFT_SHOULDER,202129,0
3,90.465996,352.94662,1689.5675,RIGHT_SHOULDER,202129,0
4,-341.68915,219.31863,1716.5378,LEFT_ELBOW,202129,0
5,314.31122,338.91675,1751.5018,RIGHT_ELBOW,202129,0
6,-383.99393,-27.721313,1659.2402,LEFT_HAND,202129,0
7,369.6024,596.0768,1693.5178,RIGHT_HAND,202129,0
8,-59.251312,189.51262,1651.742,TORSO,202129,0
9,-158.60893,25.396729,1618.8281,LEFT_HIP,202129,0
10,40.155045,22.705383,1638.2144,RIGHT_HIP,202129,0
11,-174.50781,-340.2838,1663.3289,LEFT_KNEE,202129,0
12,67.29769,-305.16327,1681.1737,RIGHT_KNEE,202129,0
13,-200.48154,-654.44775,1607.3253,LEFT_FOOT,202129,0
14,12.247192,-626.2681,1729.8242,RIGHT_FOOT,202129,0
0,-26.036705,548.5819,1686.277,HEAD,202129,0
1,-65.561615,357.23865,1690.8243,NECK,202129,0
2,-209.02367,357.48904,1671.3875,LEFT_SHOULDER,202129,0
3,77.90043,356.98828,1710.2612,RIGHT_SHOULDER,202129,0
4,-350.54315,193.41258,1732.1259,LEFT_ELBOW,202129,0
5,310.2122,358.1469,1768.0829,RIGHT_ELBOW,202129,0
6,-405.0287,-47.053604,1691.2472,LEFT_HAND,202129,0
7,377.56113,611.3659,1710.809,RIGHT_HAND,202129,0
8,-62.16258,187.85333,1663.5541,TORSO,202129,0
9,-163.24557,18.650345,1622.1282,LEFT_HIP,202129,0
10,45.71849,18.28566,1650.4395,RIGHT_HIP,202129,0
11,-182.79984,-347.6917,1636.5269,LEFT_KNEE,202129,0
12,48.30491,-318.33368,1674.7739,RIGHT_KNEE,202129,0
13,-184.26315,-663.12036,1577.4188,LEFT_FOOT,202129,0
14,9.769974,-618.5212,1727.8196,RIGHT_FOOT,202129,0
0,-23.596424,548.7794,1691.7911,HEAD,202129,0
1,-59.88519,358.03122,1706.1421,NECK,202129,0
2,-211.17198,361.69666,1682.8582,LEFT_SHOULDER,202129,0
3,91.40162,354.36578,1729.426,RIGHT_SHOULDER,202129,0
4,-363.99457,204.29787,1766.405,LEFT_ELBOW,202129,0
5,316.3666,383.25128,1794.8163,RIGHT_ELBOW,202129,0
6,-432.439,-55.626022,1727.7092,LEFT_HAND,202129,0
7,383.0648,612.40625,1721.4949,RIGHT_HAND,202129,0
8,-58.649815,187.06108,1671.2004,TORSO,202129,0
9,-161.77655,18.619476,1620.1968,LEFT_HIP,202129,0
10,46.94766,13.562408,1652.3208,RIGHT_HIP,202129,0
