joint,x,y,z,jointname,time
0,-115.145966,247.9531,1332.4568,HEAD,125719
1,-143.38228,43.834633,1136.9276,NECK,125719
2,-256.48703,33.192604,1157.8446,LEFT_SHOULDER,125719
3,-30.277529,54.47666,1116.0106,RIGHT_SHOULDER,125719
4,-321.7028,-171.57913,1098.7887,LEFT_ELBOW,125719
5,60.79499,-79.980415,1280.8549,RIGHT_ELBOW,125719
6,-258.39215,-275.83127,837.94885,LEFT_HAND,125719
7,324.76593,-146.89534,1108.3726,RIGHT_HAND,125719
8,-132.62068,-110.577126,1116.5579,TORSO,125719
9,-178.81653,-270.34802,1106.7216,LEFT_HIP,125719
10,-64.90164,-259.62976,1085.6547,RIGHT_HIP,125719
11,-171.97699,-619.1313,1172.6138,LEFT_KNEE,125719
12,-53.186714,-599.718,1049.9446,RIGHT_KNEE,125719
13,-140.0117,-936.73645,1293.5879,LEFT_FOOT,125719
14,202.68939,-298.16354,1200.0045,RIGHT_FOOT,125719
0,-113.70046,248.89688,1333.6722,HEAD,125719
1,-145.30777,54.12272,1176.968,NECK,125719
2,-250.4636,41.88298,1208.802,LEFT_SHOULDER,125719
3,-40.15195,66.36246,1145.134,RIGHT_SHOULDER,125719
4,-324.4582,-155.58788,1138.65,LEFT_ELBOW,125719
5,55.235394,-88.27681,1260.8872,RIGHT_ELBOW,125719
6,-250.74844,-272.9052,855.58734,LEFT_HAND,125719
7,370.49588,-128.79935,1073.7623,RIGHT_HAND,125719
8,-134.85991,-103.49767,1150.8768,TORSO,125719
9,-187.12856,-268.41803,1143.7719,LEFT_HIP,125719
10,-61.695545,-253.8181,1105.7994,RIGHT_HIP,125719
11,-174.46718,-622.88574,1158.9005,LEFT_KNEE,125719
12,-44.779453,-594.57587,1088.3835,RIGHT_KNEE,125719
13,-140.85063,-940.7207,1278.8119,LEFT_FOOT,125719
14,215.82721,-282.35684,1141.9014,RIGHT_FOOT,125719
0,-89.12437,280.93616,1034.1858,HEAD,125719
1,-134.34103,44.31273,1219.5752,NECK,125719
2,-252.99051,37.97793,1201.5262,LEFT_SHOULDER,125719
3,-15.691566,50.64753,1237.6241,RIGHT_SHOULDER,125719
4,-301.61243,-167.60294,1297.4132,LEFT_ELBOW,125719
5,62.510445,-105.65447,1245.7482,RIGHT_ELBOW,125719
6,-323.81912,-173.34972,1008.3404,LEFT_HAND,125719
7,235.3787,-273.6318,1136.5394,RIGHT_HAND,125719
8,-117.08051,-97.00284,1155.7078,TORSO,125719
9,-160.13524,-241.5387,1082.6652,LEFT_HIP,125719
10,-39.504726,-235.09811,1101.0155,RIGHT_HIP,125719
11,-164.03047,-592.3236,1136.8015,LEFT_KNEE,125719
12,-44.77822,-590.00073,1097.508,RIGHT_KNEE,125719
13,-134.35571,-906.82153,1266.0332,LEFT_FOOT,125719
14,-60.16104,-917.748,1191.5054,RIGHT_FOOT,125719
0,-101.1113,264.7756,1192.746,HEAD,125719
1,-146.88231,44.46261,1197.1814,NECK,125719
2,-263.51883,27.979454,1186.4032,LEFT_SHOULDER,125719
3,-30.245768,60.945763,1207.9596,RIGHT_SHOULDER,125719
4,-316.58234,-165.57553,1250.7147,LEFT_ELBOW,125719
5,28.986712,-110.41065,1112.3956,RIGHT_ELBOW,125719
6,-238.7443,-268.97452,930.9434,LEFT_HAND,125719
7,10.935213,169.82874,1116.9496,RIGHT_HAND,125719
8,-122.241615,-91.12548,1137.8878,TORSO,125719
9,-179.60945,-238.30307,1071.016,LEFT_HIP,125719
10,-15.592405,-215.12407,1086.1725,RIGHT_HIP,125719
11,-170.7432,-589.4802,1121.9274,LEFT_KNEE,125719
12,-35.968765,-568.43756,1113.5656,RIGHT_KNEE,125719
13,-131.96672,-908.7915,1236.0636,LEFT_FOOT,125719
14,-50.746395,-908.2856,1141.4104,RIGHT_FOOT,125719
0,-132.08449,255.7614,1081.5314,HEAD,125719
1,-147.91322,46.05072,1196.4453,NECK,125719
2,-259.18945,34.954826,1191.0458,LEFT_SHOULDER,125719
3,-36.63697,57.146614,1201.8448,RIGHT_SHOULDER,125719
4,-346.25516,-173.53503,1127.2437,LEFT_ELBOW,125719
5,-141.77383,250.21286,1171.513,RIGHT_ELBOW,125719
6,-237.02826,-291.00485,849.27966,LEFT_HAND,125719
7,122.32425,43.072815,1129.0612,RIGHT_HAND,125719
8,-131.12888,-96.63982,1143.7723,TORSO,125719
9,-200.46678,-247.91803,1086.9204,LEFT_HIP,125719
10,-28.22228,-230.74268,1095.2783,RIGHT_HIP,125719
11,-172.93967,-599.3323,1128.604,LEFT_KNEE,125719
12,-38.360622,-584.694,1119.8337,RIGHT_KNEE,125719
13,-123.636444,-921.6268,1229.4889,LEFT_FOOT,125719
14,-55.67858,-925.47473,1126.9684,RIGHT_FOOT,125719
0,-118.92701,250.83282,1299.1447,HEAD,125719
1,-143.75485,40.043716,1181.8856,NECK,125719
2,-254.1409,30.113716,1174.4954,LEFT_SHOULDER,125719
3,-33.368797,49.973717,1189.2759,RIGHT_SHOULDER,125719
4,-334.2946,-171.01917,1136.5195,LEFT_ELBOW,125719
5,157.1207,12.662014,1149.6047,RIGHT_ELBOW,125719
6,-248.64394,-282.73737,852.7412,LEFT_HAND,125719
7,-7.4756775,175.99982,1141.0278,RIGHT_HAND,125719
8,-127.71838,-97.81688,1127.593,TORSO,125719
9,-188.82933,-242.61743,1068.1354,LEFT_HIP,125719
10,-34.5345,-228.73752,1078.4655,RIGHT_HIP,125719
11,-171.5038,-588.9226,1144.0287,LEFT_KNEE,125719
12,-54.39732,-583.0363,1086.5342,RIGHT_KNEE,125719
13,-112.84897,-912.90125,1233.916,LEFT_FOOT,125719
14,-65.62353,-923.96436,1097.684,RIGHT_FOOT,125719
0,-120.37302,249.75183,1304.6267,HEAD,125719
1,-145.55191,35.652023,1178.8701,NECK,125719
2,-260.0319,24.115791,1171.5226,LEFT_SHOULDER,125719
3,-31.071928,47.188255,1186.2177,RIGHT_SHOULDER,125719
4,-342.69678,-169.6748,1125.0154,LEFT_ELBOW,125719
5,125.81065,-7.7812996,1133.0426,RIGHT_ELBOW,125719
6,-251.64185,-275.4517,866.0735,LEFT_HAND,125719
7,14.885277,164.33528,1135.7784,RIGHT_HAND,125719
8,-128.46806,-100.41597,1126.3301,TORSO,125719
9,-186.27672,-244.03093,1068.9833,LEFT_HIP,125719
10,-36.491722,-228.937,1078.5968,RIGHT_HIP,125719
11,-173.7393,-590.24255,1146.2334,LEFT_KNEE,125719
12,-57.915123,-583.22186,1075.354,RIGHT_KNEE,125719
13,-106.80678,-915.62274,1224.5282,LEFT_FOOT,125719
14,-71.7467,-923.77246,1093.1388,RIGHT_FOOT,125719
0,-124.51364,249.32562,1304.8406,HEAD,125719
