joint,x,y,z,jointname,time
0,259.34253,227.3055,1425.4136,HEAD,114136
1,218.81058,-18.248459,1403.9296,NECK,114136
2,68.7904,3.5944366,1485.7073,LEFT_SHOULDER,114136
3,368.83075,-40.091354,1322.1519,RIGHT_SHOULDER,114136
4,40.604355,-166.62459,1596.2339,LEFT_ELBOW,114136
5,420.23438,-198.50243,1354.5303,RIGHT_ELBOW,114136
6,-3.8877335,-370.7065,1460.633,LEFT_HAND,114136
7,469.7137,-453.8413,1293.7893,RIGHT_HAND,114136
8,188.33937,-162.93674,1386.6769,TORSO,114136
9,110.925255,-300.79016,1395.0133,LEFT_HIP,114136
10,204.8111,-314.4599,1343.8351,RIGHT_HIP,114136
11,110.77048,-564.1122,1407.8131,LEFT_KNEE,114136
12,213.14534,-559.8261,1445.7112,RIGHT_KNEE,114136
13,175.4644,-798.2245,1560.9675,LEFT_FOOT,114136
14,258.02124,-777.75385,1467.6713,RIGHT_FOOT,114136
0,258.83475,225.30473,1436.0775,HEAD,114136
1,216.023,-24.324219,1412.1409,NECK,114136
2,65.045334,-5.275528,1488.0156,LEFT_SHOULDER,114136
3,367.00067,-43.37291,1336.2661,RIGHT_SHOULDER,114136
4,38.402786,-172.90404,1597.5465,LEFT_ELBOW,114136
5,417.91275,-193.9905,1365.2363,RIGHT_ELBOW,114136
6,-6.9336815,-398.30743,1454.1927,LEFT_HAND,114136
7,465.81915,-442.2517,1298.3207,RIGHT_HAND,114136
8,186.96373,-168.11836,1390.4181,TORSO,114136
9,110.67534,-305.95367,1392.4305,LEFT_HIP,114136
10,205.13359,-317.87134,1344.9601,RIGHT_HIP,114136
11,103.17029,-576.15027,1419.2911,LEFT_KNEE,114136
12,208.81526,-560.20215,1444.9441,RIGHT_KNEE,114136
13,171.8586,-794.4501,1562.3748,LEFT_FOOT,114136
14,256.47876,-781.8324,1465.6764,RIGHT_FOOT,114136
0,259.7793,223.06331,1442.3273,HEAD,114136
1,217.2371,-26.170502,1415.3734,NECK,114136
2,64.34369,-6.5565796,1489.1311,LEFT_SHOULDER,114136
3,370.13052,-45.784424,1341.6157,RIGHT_SHOULDER,114136
4,33.46797,-177.89178,1597.6001,LEFT_ELBOW,114136
5,422.66162,-197.70079,1372.1418,RIGHT_ELBOW,114136
6,-14.247402,-424.0615,1443.7383,LEFT_HAND,114136
7,466.17807,-438.40674,1308.437,RIGHT_HAND,114136
8,187.99844,-169.8606,1392.9747,TORSO,114136
9,111.6172,-307.503,1393.3182,LEFT_HIP,114136
10,205.90236,-319.5984,1347.8339,RIGHT_HIP,114136
11,92.07419,-582.395,1427.8745,LEFT_KNEE,114136
12,193.98257,-586.11865,1438.051,RIGHT_KNEE,114136
13,170.07317,-791.1015,1573.0746,LEFT_FOOT,114136
14,256.43835,-784.31415,1475.4651,RIGHT_FOOT,114136
0,260.7054,221.27727,1450.1083,HEAD,114136
1,218.92603,-26.00496,1427.2152,NECK,114136
2,60.5148,-11.737579,1496.87,LEFT_SHOULDER,114136
3,377.33725,-40.27234,1357.5604,RIGHT_SHOULDER,114136
4,23.63166,-186.61021,1587.8075,LEFT_ELBOW,114136
5,431.05118,-192.71207,1381.7858,RIGHT_ELBOW,114136
6,-25.952469,-435.63477,1436.1555,LEFT_HAND,114136
7,476.64108,-449.35513,1319.7285,RIGHT_HAND,114136
8,194.01517,-176.58629,1401.4056,TORSO,114136
9,110.08984,-321.85245,1401.5453,LEFT_HIP,114136
10,228.11877,-332.4828,1349.6469,RIGHT_HIP,114136
11,84.706276,-597.16394,1446.9464,LEFT_KNEE,114136
12,193.93452,-585.59015,1376.6597,RIGHT_KNEE,114136
13,166.79593,-801.5142,1586.2706,LEFT_FOOT,114136
14,256.70316,-775.64844,1473.5763,RIGHT_FOOT,114136
