joint,x,y,z,jointname
0,96.74872,459.43396,1522.023,HEAD
1,83.754105,255.41814,1554.3406,NECK
2,-43.864464,252.5379,1559.6415,LEFT_SHOULDER
3,211.37267,258.29837,1549.0397,RIGHT_SHOULDER
4,-94.909454,41.6568,1627.2698,LEFT_ELBOW
5,249.03238,37.504456,1527.4601,RIGHT_ELBOW
6,-37.287586,-15.359165,1324.7528,LEFT_HAND
7,123.06147,-128.73674,1333.5624,RIGHT_HAND
8,86.873146,72.29997,1529.9341,TORSO
9,23.07325,-112.32849,1508.3073,LEFT_HIP
10,156.91113,-109.30789,1502.7479,RIGHT_HIP
11,5.7321033,-457.4213,1608.0673,LEFT_KNEE
12,150.2143,-452.00732,1490.14,RIGHT_KNEE
13,13.007782,-798.76135,1538.1276,LEFT_FOOT
14,173.7704,-784.6111,1463.0284,RIGHT_FOOT
0,90.58743,462.0968,1542.3121,HEAD
1,78.737434,255.19473,1572.2427,NECK
2,-44.22124,256.83664,1608.4945,LEFT_SHOULDER
3,201.6961,253.55283,1535.9908,RIGHT_SHOULDER
4,-90.32861,44.792206,1676.584,LEFT_ELBOW
5,236.21005,33.90747,1519.6381,RIGHT_ELBOW
6,-31.734543,-18.776188,1376.1414,LEFT_HAND
7,119.94112,-128.60971,1321.6636,RIGHT_HAND
8,75.69257,70.576035,1570.2769,TORSO
9,-6.226947,-112.98942,1591.5656,LEFT_HIP
10,151.52237,-115.09591,1545.0565,RIGHT_HIP
11,-13.758583,-470.22412,1605.36,LEFT_KNEE
12,150.916,-461.9512,1539.7123,RIGHT_KNEE
13,3.1327534,-802.5267,1530.232,LEFT_FOOT
14,181.60115,-793.1599,1505.4684,RIGHT_FOOT
0,87.92851,462.82324,1553.6042,HEAD
1,75.87462,252.47067,1588.9484,NECK
2,-49.9227,255.89917,1616.2356,LEFT_SHOULDER
3,201.67194,249.04214,1561.6611,RIGHT_SHOULDER
4,-96.30948,32.389328,1705.0776,LEFT_ELBOW
5,227.88087,28.346634,1543.4071,RIGHT_ELBOW
6,-40.59629,-19.510143,1391.8761,LEFT_HAND
7,118.930145,-136.10637,1348.5879,RIGHT_HAND
8,70.89677,67.77447,1589.206,TORSO
9,-9.197157,-114.8745,1605.7574,LEFT_HIP
10,141.035,-118.96896,1573.17,RIGHT_HIP
