joint,x,y,z,jointname
0,61.798386,594.1663,3397.4414,HEAD
1,28.231678,481.10828,3324.8362,NECK
2,-66.91432,473.80652,3344.6965,LEFT_SHOULDER
3,123.37767,488.40997,3304.9758,RIGHT_SHOULDER
4,-8.2718315,619.5295,3480.8987,LEFT_ELBOW
5,181.61462,572.7107,3469.3154,RIGHT_ELBOW
6,-110.94835,680.6742,3471.8071,LEFT_HAND
7,202.16219,860.39856,3590.369,RIGHT_HAND
8,40.482452,263.33417,3303.4614,TORSO
9,-22.149296,39.81343,3297.7173,LEFT_HIP
10,127.61575,51.306717,3266.456,RIGHT_HIP
11,-65.58401,-300.2752,3303.465,LEFT_KNEE
12,114.44055,-234.86214,3230.7275,RIGHT_KNEE
13,-75.95174,-609.68445,3421.1274,LEFT_FOOT
14,134.26212,-529.55634,3275.753,RIGHT_FOOT
0,86.60365,589.72675,3371.1694,HEAD
1,92.08697,452.34338,3323.7817,NECK
2,27.794853,456.43512,3345.621,LEFT_SHOULDER
3,156.37909,448.2517,3301.9424,RIGHT_SHOULDER
4,3.2313824,619.3905,3474.8503,LEFT_ELBOW
5,180.70212,570.5187,3475.9097,RIGHT_ELBOW
6,-113.04982,708.1335,3508.6345,LEFT_HAND
7,-78.50409,586.14514,3388.0688,RIGHT_HAND
8,72.176926,248.87044,3303.2913,TORSO
9,-19.510643,49.965576,3307.1829,LEFT_HIP
10,124.04441,40.829376,3258.4187,RIGHT_HIP
11,-62.3357,-285.31683,3308.9597,LEFT_KNEE
12,110.32466,-236.12918,3223.271,RIGHT_KNEE
13,-73.83867,-598.16895,3430.8286,LEFT_FOOT
14,134.93787,-537.3047,3273.0784,RIGHT_FOOT
0,77.81567,587.86334,3382.0398,HEAD
1,77.63441,457.64374,3330.5046,NECK
2,-5.531502,458.6278,3362.6492,LEFT_SHOULDER
3,160.80031,456.6597,3298.36,RIGHT_SHOULDER
4,13.485048,606.7424,3468.1384,LEFT_ELBOW
5,193.47615,577.74884,3488.4001,RIGHT_ELBOW
6,-149.71867,718.5548,3453.123,LEFT_HAND
7,-21.443604,644.4039,3344.905,RIGHT_HAND
8,65.771385,252.14723,3306.1033,TORSO
9,-16.715553,47.48636,3308.9988,LEFT_HIP
10,124.53227,45.815063,3254.405,RIGHT_HIP
11,-60.45951,-287.28885,3311.3894,LEFT_KNEE
12,107.865204,-227.5935,3220.8665,RIGHT_KNEE
13,-73.500275,-600.58325,3434.0999,LEFT_FOOT
14,125.717316,-552.97314,3281.6409,RIGHT_FOOT
0,71.36071,586.44653,3391.0088,HEAD
1,72.62251,449.08243,3342.7566,NECK
2,-18.363232,446.3418,3379.8193,LEFT_SHOULDER
3,163.60825,451.82306,3305.6938,RIGHT_SHOULDER
4,-3.2018042,585.67786,3490.0447,LEFT_ELBOW
5,206.78297,600.8687,3514.763,RIGHT_ELBOW
6,-168.91344,689.42786,3475.0142,LEFT_HAND
7,15.193832,691.3969,3394.0437,RIGHT_HAND
8,66.67345,248.01596,3313.2844,TORSO
9,-22.265438,44.449707,3317.618,LEFT_HIP
10,143.7142,49.44928,3250.0066,RIGHT_HIP
11,-48.58277,-247.5365,3297.3687,LEFT_KNEE
12,129.29135,-232.24756,3260.7446,RIGHT_KNEE
13,-84.96638,-553.9208,3439.806,LEFT_FOOT
14,131.46991,-557.22076,3324.0608,RIGHT_FOOT
0,60.932556,586.6529,3418.7249,HEAD
1,63.88049,448.66107,3350.1533,NECK
2,-38.15848,441.05463,3397.1755,LEFT_SHOULDER
3,165.91946,456.26752,3303.131,RIGHT_SHOULDER
4,-17.103628,584.0838,3505.6294,LEFT_ELBOW
5,208.51245,603.8811,3526.2197,RIGHT_ELBOW
6,-223.17455,807.6963,3773.9453,LEFT_HAND
7,52.70854,714.52136,3448.6804,RIGHT_HAND
8,64.6658,247.11914,3319.2559,TORSO
9,-22.370403,39.03061,3328.8289,LEFT_HIP
10,153.27263,52.12381,3247.888,RIGHT_HIP
11,-39.688553,-231.1033,3296.7002,LEFT_KNEE
12,149.01198,-229.0354,3281.7253,RIGHT_KNEE
13,-90.899574,-534.57605,3456.5493,LEFT_FOOT
14,137.09459,-548.384,3343.5342,RIGHT_FOOT
0,62.703873,592.22064,3412.987,HEAD
1,64.4784,453.42957,3348.9792,NECK
2,-38.100662,444.21088,3398.469,LEFT_SHOULDER
3,167.05746,462.64825,3299.4895,RIGHT_SHOULDER
4,-34.936638,576.4975,3515.012,LEFT_ELBOW
5,211.7398,602.5434,3533.892,RIGHT_ELBOW
6,-237.62662,835.7728,3589.3271,LEFT_HAND
7,83.07773,726.8565,3489.8186,RIGHT_HAND
8,68.607315,247.30539,3319.1418,TORSO
9,-15.967331,33.20952,3332.0999,LEFT_HIP
10,161.43979,49.15294,3246.509,RIGHT_HIP
11,-41.649315,-265.24365,3323.6494,LEFT_KNEE
12,125.58894,-364.4986,3261.358,RIGHT_KNEE
13,-90.226425,-546.19574,3454.5325,LEFT_FOOT
14,141.77533,-603.44714,3322.282,RIGHT_FOOT
0,62.83688,594.8786,3411.1965,HEAD
1,64.04995,452.45837,3346.2788,NECK
2,-42.626675,444.30795,3392.0344,LEFT_SHOULDER
3,170.72656,460.6088,3300.5232,RIGHT_SHOULDER
4,-205.05455,538.35455,3563.1772,LEFT_ELBOW
5,255.73048,571.7284,3561.6406,RIGHT_ELBOW
6,-264.79016,685.6437,3633.6921,LEFT_HAND
7,114.1673,738.59595,3520.9456,RIGHT_HAND
8,73.57953,254.57098,3333.247,TORSO
9,10.279498,51.119186,3351.4534,LEFT_HIP
10,155.93874,62.248016,3288.9773,RIGHT_HIP
11,-33.457096,-306.9983,3326.7542,LEFT_KNEE
12,119.95274,-321.54633,3264.7292,RIGHT_KNEE
13,-80.69454,-609.6046,3458.1694,LEFT_FOOT
14,132.76152,-560.09174,3318.7068,RIGHT_FOOT
0,62.463116,592.9601,3408.681,HEAD
1,62.119324,440.8457,3327.403,NECK
2,-48.393982,433.1162,3354.3713,LEFT_SHOULDER
3,172.63263,448.5752,3300.4348,RIGHT_SHOULDER
4,-206.45534,544.10144,3552.2534,LEFT_ELBOW
5,258.62534,559.69556,3574.3281,RIGHT_ELBOW
6,-294.21732,675.4421,3667.092,LEFT_HAND
7,414.33145,751.98956,3720.072,RIGHT_HAND
8,75.65986,254.06113,3329.356,TORSO
9,2.0146093,61.178635,3352.5847,LEFT_HIP
10,176.38617,73.3745,3310.033,RIGHT_HIP
11,-43.379066,-346.58466,3340.7073,LEFT_KNEE
12,191.1335,-215.55351,3327.0051,RIGHT_KNEE
13,-89.72917,-639.8052,3467.4666,LEFT_FOOT
14,149.5718,-529.12524,3304.105,RIGHT_FOOT
0,62.141563,594.5517,3406.4001,HEAD
1,59.95415,431.1853,3335.23,NECK
2,-42.498707,421.8952,3343.1765,LEFT_SHOULDER
3,162.40701,440.47543,3327.2834,RIGHT_SHOULDER
4,-199.9161,538.7106,3552.0532,LEFT_ELBOW
5,260.67252,551.9627,3568.3386,RIGHT_ELBOW
6,-324.66443,688.8956,3527.9915,LEFT_HAND
7,427.02225,857.1536,3657.514,RIGHT_HAND
8,75.84174,254.08507,3333.0217,TORSO
9,-0.30427837,68.639496,3337.952,LEFT_HIP
10,183.76295,85.33014,3323.675,RIGHT_HIP
11,-48.948334,-357.849,3325.1858,LEFT_KNEE
12,196.6066,-183.5104,3369.8757,RIGHT_KNEE
13,-98.427895,-649.0975,3452.54,LEFT_FOOT
14,151.28427,-519.83734,3308.4524,RIGHT_FOOT
0,65.1817,585.0028,3371.512,HEAD
1,47.135155,427.95648,3348.1172,NECK
2,-55.988724,422.07635,3385.878,LEFT_SHOULDER
3,150.25903,433.83667,3310.3564,RIGHT_SHOULDER
4,-238.88438,445.2201,3534.5132,LEFT_ELBOW
5,287.63202,516.31775,3511.9614,RIGHT_ELBOW
6,-362.48886,639.07385,3687.2695,LEFT_HAND
7,442.03934,622.06305,3685.2466,RIGHT_HAND
8,63.49663,260.51575,3366.7263,TORSO
9,-31.02913,86.75217,3425.9387,LEFT_HIP
10,190.74535,99.39784,3344.7322,RIGHT_HIP
11,-50.40103,-375.02066,3305.697,LEFT_KNEE
12,201.79266,-166.44951,3398.3047,RIGHT_KNEE
13,-107.186905,-663.95685,3433.1243,LEFT_FOOT
14,146.81061,-516.12195,3291.045,RIGHT_FOOT
0,61.88302,577.0406,3354.5923,HEAD
1,49.363426,410.47754,3348.4253,NECK
