joint,x,y,z,jointname
0,154.50404,531.1714,3603.4126,HEAD
1,140.88289,317.50745,3572.7808,NECK
2,30.775791,314.28864,3559.132,LEFT_SHOULDER
3,250.98999,320.72623,3586.4294,RIGHT_SHOULDER
4,-163.46347,415.81927,3641.4746,LEFT_ELBOW
5,399.91867,142.15718,3601.0361,RIGHT_ELBOW
6,-261.3966,826.10565,3689.1958,LEFT_HAND
7,575.1306,-31.853073,3477.0461,RIGHT_HAND
8,151.12212,131.23943,3534.1064,TORSO
9,74.7451,-57.560654,3484.6953,LEFT_HIP
10,247.97758,-52.496506,3506.169,RIGHT_HIP
11,95.846176,-424.2185,3266.722,LEFT_KNEE
12,268.95215,-409.55072,3388.7478,RIGHT_KNEE
13,72.63976,-782.0343,3340.8108,LEFT_FOOT
14,288.74274,-741.08997,3488.8962,RIGHT_FOOT
0,165.98755,530.8974,3604.339,HEAD
1,144.13718,316.2475,3577.4077,NECK
2,33.45984,314.48547,3556.722,LEFT_SHOULDER
3,254.8145,318.00952,3598.0935,RIGHT_SHOULDER
4,-159.17653,419.8655,3639.2988,LEFT_ELBOW
5,416.65872,127.15971,3585.7812,RIGHT_ELBOW
6,-252.32799,735.04504,3563.5024,LEFT_HAND
7,614.1757,-36.13875,3470.3083,RIGHT_HAND
8,155.08278,131.26878,3534.601,TORSO
9,77.92074,-55.112625,3475.327,LEFT_HIP
10,254.13603,-52.307205,3508.262,RIGHT_HIP
11,139.77985,-418.6554,3262.493,LEFT_KNEE
12,273.8733,-422.1026,3387.8984,RIGHT_KNEE
13,177.46979,-816.0209,3389.6272,LEFT_FOOT
14,275.17282,-767.5789,3443.8296,RIGHT_FOOT
0,184.78918,532.9652,3609.535,HEAD
1,140.62941,323.83545,3592.497,NECK
2,18.703735,322.46423,3575.4019,LEFT_SHOULDER
3,262.55508,325.2066,3609.5923,RIGHT_SHOULDER
4,-156.00987,431.2012,3644.0413,LEFT_ELBOW
5,418.64642,139.7538,3591.465,RIGHT_ELBOW
6,-257.11288,738.0752,3572.662,LEFT_HAND
7,625.26587,-37.064438,3458.1646,RIGHT_HAND
8,150.26048,141.25441,3538.4517,TORSO
9,82.674194,-42.195007,3473.5796,LEFT_HIP
10,237.10892,-40.45822,3495.233,RIGHT_HIP
11,169.61581,-406.74377,3269.2283,LEFT_KNEE
12,309.0733,-398.63864,3404.814,RIGHT_KNEE
13,221.459,-807.69995,3383.1736,LEFT_FOOT
14,272.00775,-680.8893,3684.137,RIGHT_FOOT
0,194.69904,537.6385,3614.4595,HEAD
1,150.28914,324.91818,3596.781,NECK
2,33.534134,327.3985,3579.951,LEFT_SHOULDER
3,267.04416,322.43787,3613.611,RIGHT_SHOULDER
4,-148.17801,436.49185,3652.246,LEFT_ELBOW
5,412.8603,135.90306,3586.7566,RIGHT_ELBOW
6,-253.67226,743.80927,3593.6733,LEFT_HAND
7,615.8065,-50.34372,3457.253,RIGHT_HAND
8,154.43057,145.26694,3541.5747,TORSO
9,86.15961,-32.845993,3475.9302,LEFT_HIP
10,230.98439,-35.922623,3496.8066,RIGHT_HIP
11,194.96228,-393.52173,3267.0198,LEFT_KNEE
12,318.72366,-388.9519,3436.487,RIGHT_KNEE
13,244.73827,-800.44385,3387.2979,LEFT_FOOT
14,268.16602,-696.7636,3680.551,RIGHT_FOOT
0,200.45483,536.94763,3614.679,HEAD
1,153.21631,326.09937,3595.8667,NECK
2,37.464764,324.95978,3578.2815,LEFT_SHOULDER
3,268.96786,327.23895,3613.452,RIGHT_SHOULDER
4,-145.3989,432.996,3651.1245,LEFT_ELBOW
5,411.56284,141.01857,3587.0498,RIGHT_ELBOW
6,-250.19046,755.9531,3596.915,LEFT_HAND
7,617.9937,-42.844177,3463.6914,RIGHT_HAND
8,163.27151,149.58374,3541.119,TORSO
9,112.235535,-27.53331,3477.09,LEFT_HIP
10,234.41791,-26.33043,3495.652,RIGHT_HIP
11,199.45085,-425.26337,3365.7122,LEFT_KNEE
12,322.29944,-385.25732,3439.4783,RIGHT_KNEE
13,259.4474,-814.12006,3430.6528,LEFT_FOOT
14,270.0785,-701.54834,3676.4543,RIGHT_FOOT
0,203.51262,534.75586,3616.094,HEAD
1,162.33418,325.55984,3596.4573,NECK
2,51.64549,324.85678,3585.2024,LEFT_SHOULDER
3,273.0229,326.2629,3607.7122,RIGHT_SHOULDER
4,-112.29637,412.92517,3652.664,LEFT_ELBOW
5,407.12317,140.87907,3580.3691,RIGHT_ELBOW
6,-225.91971,692.0674,3777.2825,LEFT_HAND
7,601.52405,-51.826202,3457.5208,RIGHT_HAND
8,168.74477,148.82216,3544.451,TORSO
9,119.41269,-28.269592,3486.7766,LEFT_HIP
10,230.89801,-27.561462,3498.1125,RIGHT_HIP
11,218.22235,-422.20074,3376.2524,LEFT_KNEE
12,318.48486,-389.69955,3457.4563,RIGHT_KNEE
13,276.51038,-814.79944,3448.1743,LEFT_FOOT
14,281.2662,-802.7158,3601.4915,RIGHT_FOOT
0,209.89597,534.13745,3620.7385,HEAD
1,165.96596,324.20734,3594.5889,NECK
2,50.20687,328.49194,3588.1848,LEFT_SHOULDER
3,281.72504,319.92273,3600.993,RIGHT_SHOULDER
4,-88.53191,409.17468,3652.9753,LEFT_ELBOW
5,405.22397,130.78934,3569.3516,RIGHT_ELBOW
6,-233.07462,714.289,3626.0493,LEFT_HAND
7,601.79456,-73.18773,3429.324,RIGHT_HAND
8,162.33958,150.66681,3544.0315,TORSO
9,86.56587,-20.203323,3489.483,LEFT_HIP
10,230.86055,-25.544113,3497.4653,RIGHT_HIP
11,220.52184,-424.01514,3368.578,LEFT_KNEE
12,307.48657,-426.94232,3491.1318,RIGHT_KNEE
13,280.4264,-829.3108,3477.3206,LEFT_FOOT
14,299.46942,-770.58826,3537.9329,RIGHT_FOOT
0,214.67557,534.35846,3622.6794,HEAD
1,168.67656,324.80872,3593.2249,NECK
2,51.017803,331.75558,3592.4355,LEFT_SHOULDER
3,286.33533,317.86188,3594.0142,RIGHT_SHOULDER
4,-82.990265,416.5617,3660.0933,LEFT_ELBOW
5,403.51788,126.18776,3561.4316,RIGHT_ELBOW
6,-230.35933,705.4225,3637.5752,LEFT_HAND
7,586.9552,-72.840775,3424.1306,RIGHT_HAND
8,159.01683,156.13649,3548.6443,TORSO
9,59.366558,-7.2224884,3503.46,LEFT_HIP
10,239.34766,-17.849014,3504.6675,RIGHT_HIP
11,222.7243,-439.1819,3368.9658,LEFT_KNEE
12,309.86328,-409.0133,3469.5298,RIGHT_KNEE
13,270.47385,-852.55225,3478.051,LEFT_FOOT
14,462.84076,-549.015,3069.1213,RIGHT_FOOT
0,217.89218,534.26733,3624.8777,HEAD
1,159.75421,329.0393,3564.7498,NECK
2,54.81635,330.29327,3578.247,LEFT_SHOULDER
3,264.69208,327.78528,3551.2524,RIGHT_SHOULDER
4,-96.404755,422.25037,3658.8455,LEFT_ELBOW
5,404.4626,126.628006,3562.3037,RIGHT_ELBOW
6,-249.58456,766.2505,3630.6577,LEFT_HAND
7,586.35944,-81.40654,3433.7083,RIGHT_HAND
8,153.56152,158.70673,3532.4287,TORSO
9,56.89504,-10.544678,3511.7446,LEFT_HIP
10,237.84264,-12.707001,3488.4707,RIGHT_HIP
11,227.04659,-439.85355,3387.0212,LEFT_KNEE
12,312.6311,-407.96597,3446.36,RIGHT_KNEE
13,275.10986,-849.23706,3487.2954,LEFT_FOOT
14,458.52087,-524.3545,3008.7917,RIGHT_FOOT
0,216.48318,535.44543,3623.885,HEAD
1,155.40909,332.12854,3559.7078,NECK
2,47.488136,330.56934,3579.685,LEFT_SHOULDER
3,263.33005,333.68777,3539.7305,RIGHT_SHOULDER
4,-124.80509,436.1794,3658.2512,LEFT_ELBOW
5,407.0641,128.25287,3566.5173,RIGHT_ELBOW
6,-277.52988,737.6396,3602.199,LEFT_HAND
7,585.5807,-86.26807,3435.6106,RIGHT_HAND
8,152.33322,158.81244,3529.564,TORSO
9,62.913155,-15.75116,3515.4033,LEFT_HIP
10,235.60156,-13.256195,3483.437,RIGHT_HIP
11,233.2861,-449.01337,3433.1045,LEFT_KNEE
12,314.29013,-405.6603,3432.226,RIGHT_KNEE
13,279.0422,-847.22766,3492.506,LEFT_FOOT
14,454.32526,-534.6206,3000.2993,RIGHT_FOOT
0,214.22076,524.3831,3610.108,HEAD
1,156.00206,329.55005,3562.7253,NECK
2,47.427147,326.0935,3582.3699,LEFT_SHOULDER
3,264.57697,333.00665,3543.0808,RIGHT_SHOULDER
4,-115.968666,430.2261,3658.6018,LEFT_ELBOW
5,403.65558,130.99675,3561.6025,RIGHT_ELBOW
6,-256.9282,792.22595,3664.815,LEFT_HAND
7,573.28784,-99.10841,3437.6538,RIGHT_HAND
8,155.85089,154.60913,3531.1077,TORSO
9,73.20966,-22.957947,3514.4148,LEFT_HIP
10,238.18977,-17.705658,3484.5652,RIGHT_HIP
11,233.48227,-458.84555,3445.3347,LEFT_KNEE
12,311.63632,-429.5327,3429.4104,RIGHT_KNEE
13,279.54434,-851.6128,3494.1045,LEFT_FOOT
14,394.9962,-638.38,3052.684,RIGHT_FOOT
0,215.44543,526.8646,3614.6108,HEAD
1,158.3254,313.9593,3555.5813,NECK
2,60.075813,310.82983,3569.9014,LEFT_SHOULDER
3,256.57495,317.08875,3541.2612,RIGHT_SHOULDER
4,-98.7542,437.1461,3662.1016,LEFT_ELBOW
5,395.46082,116.190704,3554.971,RIGHT_ELBOW
6,-274.56033,799.3401,3590.3428,LEFT_HAND
7,555.7521,-101.48248,3424.727,RIGHT_HAND
8,159.65102,142.74664,3527.2605,TORSO
9,87.61385,-30.802765,3509.6326,LEFT_HIP
10,234.33943,-26.129242,3488.2468,RIGHT_HIP
11,236.05576,-451.39615,3433.248,LEFT_KNEE
12,300.3838,-444.04462,3455.6982,RIGHT_KNEE
13,282.79846,-845.0996,3490.1724,LEFT_FOOT
14,399.26007,-650.6176,3059.368,RIGHT_FOOT
0,215.4786,528.22327,3617.2961,HEAD
1,156.30614,318.85516,3557.143,NECK
2,54.13658,315.17606,3572.643,LEFT_SHOULDER
3,258.4757,322.53424,3541.643,RIGHT_SHOULDER
4,-102.25139,432.3248,3659.5935,LEFT_ELBOW
5,390.03662,119.94119,3556.5693,RIGHT_ELBOW
6,-270.22125,726.82495,3595.6646,LEFT_HAND
7,551.55945,-90.61566,3437.4902,RIGHT_HAND
8,158.25488,139.72792,3527.4707,TORSO
9,88.516014,-41.98076,3508.674,LEFT_HIP
10,231.89125,-36.817856,3486.9226,RIGHT_HIP
11,231.63245,-420.56836,3304.7324,LEFT_KNEE
12,302.5011,-444.15253,3441.9512,RIGHT_KNEE
13,286.19965,-835.44885,3490.7705,LEFT_FOOT
14,277.36176,-681.6185,3716.3208,RIGHT_FOOT
0,213.02034,528.6612,3617.4517,HEAD
1,155.78914,319.46375,3557.1582,NECK
2,49.387993,318.59735,3566.4824,LEFT_SHOULDER
3,262.19025,320.33014,3547.834,RIGHT_SHOULDER
4,-135.60492,436.1646,3643.9937,LEFT_ELBOW
5,384.8956,119.99809,3554.037,RIGHT_ELBOW
6,-281.7663,756.4905,3593.5232,LEFT_HAND
7,544.55444,-111.8586,3415.0886,RIGHT_HAND
8,154.66016,136.85693,3527.3076,TORSO
9,76.046326,-46.3808,3504.247,LEFT_HIP
10,231.01604,-45.118958,3490.667,RIGHT_HIP
11,230.6756,-418.3078,3308.917,LEFT_KNEE
12,283.48038,-460.6148,3422.8171,RIGHT_KNEE
13,272.73257,-728.91223,3200.5369,LEFT_FOOT
14,276.7608,-706.9065,3719.761,RIGHT_FOOT
0,206.85907,527.95905,3612.2375,HEAD
1,151.2939,320.35648,3556.588,NECK
2,40.031895,320.56454,3559.1384,LEFT_SHOULDER
3,262.5559,320.1484,3554.0374,RIGHT_SHOULDER
4,-150.29305,437.43756,3632.1821,LEFT_ELBOW
5,380.312,118.511154,3560.3284,RIGHT_ELBOW
6,-291.6533,743.05383,3564.9705,LEFT_HAND
7,536.0019,-111.92285,3452.0693,RIGHT_HAND
8,150.14914,133.14172,3521.9224,TORSO
9,65.58137,-53.917023,3489.1692,LEFT_HIP
10,232.42738,-54.229034,3485.3445,RIGHT_HIP
11,209.38684,-408.29797,3284.5977,LEFT_KNEE
12,278.27322,-464.70825,3409.603,RIGHT_KNEE
13,227.5866,-732.9923,3212.9543,LEFT_FOOT
14,276.06412,-729.11475,3706.331,RIGHT_FOOT
0,201.70262,529.4045,3608.7864,HEAD
1,147.98495,320.76233,3556.8083,NECK
2,34.444977,319.8346,3561.5964,LEFT_SHOULDER
3,261.52496,321.6901,3552.0203,RIGHT_SHOULDER
4,-153.22966,432.68863,3637.9,LEFT_ELBOW
5,369.42227,117.33795,3561.9397,RIGHT_ELBOW
6,-304.1065,699.6063,3570.729,LEFT_HAND
7,495.65265,-64.03299,3441.1248,RIGHT_HAND
8,148.10661,134.4095,3523.5852,TORSO
9,63.936554,-52.632095,3493.9167,LEFT_HIP
10,232.51997,-51.254593,3486.8074,RIGHT_HIP
11,159.52365,-406.17023,3274.097,LEFT_KNEE
12,270.9816,-457.00848,3384.7695,RIGHT_KNEE
13,122.09352,-765.6819,3259.8652,LEFT_FOOT
14,232.11774,-806.76056,3517.4417,RIGHT_FOOT
0,184.53993,533.64056,3596.0393,HEAD
1,144.62546,322.24838,3556.3184,NECK
2,28.95684,319.50635,3561.9822,LEFT_SHOULDER
3,260.2941,324.99042,3550.6545,RIGHT_SHOULDER
4,-158.44357,426.0944,3643.9272,LEFT_ELBOW
5,363.8172,118.17885,3559.7234,RIGHT_ELBOW
6,-325.14734,696.7347,3533.3901,LEFT_HAND
7,517.6376,-103.19057,3448.739,RIGHT_HAND
8,147.4613,136.55682,3524.3347,TORSO
9,71.57556,-51.0009,3496.2058,LEFT_HIP
10,229.01874,-47.26857,3488.4963,RIGHT_HIP
11,133.74915,-408.71063,3271.3225,LEFT_KNEE
12,265.64136,-442.72406,3394.8591,RIGHT_KNEE
13,13.586639,-755.6848,3327.2363,LEFT_FOOT
