joint,x,y,z,jointname
0,-537.33246,653.8757,3359.3848,HEAD
1,-503.16183,360.7482,3229.4558,NECK
2,-524.4358,345.93652,3076.4478,LEFT_SHOULDER
3,-481.88788,375.55988,3382.4639,RIGHT_SHOULDER
4,-548.3177,83.65341,3078.4727,LEFT_ELBOW
5,-450.96512,192.5498,3383.9285,RIGHT_ELBOW
6,-536.2342,-164.60298,3165.591,LEFT_HAND
7,-484.82675,-39.319733,3475.8125,RIGHT_HAND
8,-499.5092,181.3743,3246.312,TORSO
9,-509.73132,-7.659729,3163.377,LEFT_HIP
10,-481.98172,11.660522,3362.9595,RIGHT_HIP
11,-556.755,-364.0429,3021.2231,LEFT_KNEE
12,-492.78635,-372.203,3402.2158,RIGHT_KNEE
13,-561.44995,-675.0224,2958.7322,LEFT_FOOT
14,-588.1087,-741.42456,3313.5032,RIGHT_FOOT
0,-538.0821,653.7351,3358.9626,HEAD
1,-502.16376,359.93793,3224.3416,NECK
2,-522.1872,347.91302,3073.7793,LEFT_SHOULDER
3,-482.1403,371.96277,3374.9038,RIGHT_SHOULDER
4,-547.7172,85.81073,3077.96,LEFT_ELBOW
5,-454.9122,185.74133,3381.2576,RIGHT_ELBOW
6,-535.1671,-146.20662,3201.9653,LEFT_HAND
7,-485.9483,-48.9169,3473.3804,RIGHT_HAND
8,-500.37213,182.17215,3238.3008,TORSO
9,-511.54767,-3.3809052,3154.756,LEFT_HIP
10,-485.6133,12.19368,3349.764,RIGHT_HIP
11,-558.6221,-363.98853,3021.0664,LEFT_KNEE
12,-486.14548,-395.79022,3388.2507,RIGHT_KNEE
13,-564.4085,-682.62366,2960.8042,LEFT_FOOT
14,-588.81836,-746.0146,3321.6655,RIGHT_FOOT
0,-538.7906,652.8302,3356.2463,HEAD
1,-500.48138,356.29312,3220.6235,NECK
2,-519.5973,353.2366,3069.5276,LEFT_SHOULDER
3,-481.3655,359.34964,3371.7195,RIGHT_SHOULDER
4,-546.8287,91.47485,3077.5505,LEFT_ELBOW
5,-456.0461,176.9191,3390.9016,RIGHT_ELBOW
6,-530.58167,-148.84299,3183.892,LEFT_HAND
7,-489.15903,-61.87201,3474.4636,RIGHT_HAND
8,-502.13547,183.67572,3224.3247,TORSO
9,-515.5754,9.173828,3134.8677,LEFT_HIP
10,-492.00366,12.94281,3321.184,RIGHT_HIP
11,-559.8009,-360.43762,3022.5742,LEFT_KNEE
12,-485.4191,-383.51706,3361.1848,RIGHT_KNEE
13,-566.57947,-678.49097,2959.1196,LEFT_FOOT
14,-585.68787,-747.7222,3323.0894,RIGHT_FOOT
0,-531.30884,643.7509,3339.0786,HEAD
1,-496.37057,348.82904,3207.8762,NECK
2,-516.27454,342.77054,3065.0718,LEFT_SHOULDER
3,-476.46658,354.88754,3350.6807,RIGHT_SHOULDER
4,-543.19415,80.83804,3066.9824,LEFT_ELBOW
5,-459.8882,184.90668,3399.0798,RIGHT_ELBOW
6,-524.4966,-163.30505,3163.8406,LEFT_HAND
7,-503.85986,-85.040955,3489.3787,RIGHT_HAND
8,-501.38483,180.15933,3215.731,TORSO
9,-518.3566,7.8499146,3137.7944,LEFT_HIP
10,-494.44156,15.1293335,3309.377,RIGHT_HIP
11,-562.57404,-362.49875,3022.9463,LEFT_KNEE
