joint,x,y,z,jointname,voiceover
0,-145.88145,579.61475,3522.4795,HEAD,
1,-173.36806,315.3687,3469.8877,NECK,
2,-305.34573,310.4392,3477.644,LEFT_SHOULDER,
3,-41.390358,320.29822,3462.1313,RIGHT_SHOULDER,
4,-350.0968,79.60173,3524.56,LEFT_ELBOW,
5,26.51828,78.03221,3454.9426,RIGHT_ELBOW,
6,-366.02094,-113.993286,3314.924,LEFT_HAND,
7,39.45735,-98.59714,3318.6672,RIGHT_HAND,
8,-169.12413,150.78726,3437.501,TORSO,
9,-256.68365,-17.22316,3410.5095,LEFT_HIP,
10,-73.07676,-10.36525,3399.719,RIGHT_HIP,
11,-265.19678,-418.4419,3407.2368,LEFT_KNEE,
12,-30.780659,-405.93378,3382.9597,RIGHT_KNEE,
13,-284.94556,-790.9889,3481.7798,LEFT_FOOT,
14,-6.913374,-767.4789,3466.7185,RIGHT_FOOT,
0,-151.31357,578.88306,3522.6924,HEAD,
1,-184.42459,318.80103,3467.5205,NECK,
2,-313.08545,310.14478,3473.4685,LEFT_SHOULDER,
3,-55.763718,327.4572,3461.5725,RIGHT_SHOULDER,
4,-374.10257,96.203415,3511.827,LEFT_ELBOW,
5,8.305405,86.14084,3465.2297,RIGHT_ELBOW,
6,-367.3721,-116.410965,3300.473,LEFT_HAND,
7,29.943586,-111.63075,3305.6213,RIGHT_HAND,
8,-174.64589,152.88602,3437.5837,TORSO,
9,-253.15529,-18.968948,3411.7285,LEFT_HIP,
10,-76.57909,-7.0890045,3403.5654,RIGHT_HIP,
11,-275.14777,-420.05737,3412.279,LEFT_KNEE,
12,-32.320248,-402.06396,3383.9458,RIGHT_KNEE,
13,-284.88336,-794.1021,3483.0564,LEFT_FOOT,
14,-10.532959,-764.9895,3467.6326,RIGHT_FOOT,
0,-165.0282,574.2266,3522.9302,HEAD,
1,-194.27676,332.28204,3466.017,NECK,
2,-321.88037,322.372,3474.769,LEFT_SHOULDER,
3,-66.67319,342.1921,3457.2651,RIGHT_SHOULDER,
4,-381.31577,98.88852,3505.225,LEFT_ELBOW,
5,-6.5383606,101.694824,3473.3374,RIGHT_ELBOW,
6,-365.90088,-124.744385,3292.1606,LEFT_HAND,
7,10.496124,-121.07449,3342.0422,RIGHT_HAND,
8,-182.75615,159.49309,3438.3345,TORSO,
9,-258.00885,-20.034943,3416.6033,LEFT_HIP,
10,-84.46221,-6.5568237,3404.7004,RIGHT_HIP,
11,-277.2131,-423.41696,3416.6125,LEFT_KNEE,
12,-37.81148,-399.0658,3379.726,RIGHT_KNEE,
13,-284.0553,-794.25146,3492.096,LEFT_FOOT,
14,-12.905689,-762.5464,3464.9622,RIGHT_FOOT,
0,-161.82056,575.3555,3522.2644,HEAD,
1,-200.95091,340.5993,3464.8772,NECK,
2,-329.35895,329.19327,3478.8906,LEFT_SHOULDER,
3,-72.54286,352.00537,3450.8638,RIGHT_SHOULDER,
4,-382.90045,97.94316,3507.429,LEFT_ELBOW,
5,-19.975685,115.88948,3471.4292,RIGHT_ELBOW,
6,-370.8597,-133.44756,3299.1587,LEFT_HAND,
7,0.39435387,-122.94881,3384.2,RIGHT_HAND,
8,-188.14856,165.49185,3439.6614,TORSO,
9,-260.01062,-17.136063,3423.685,LEFT_HIP,
10,-90.6818,-2.095169,3405.206,RIGHT_HIP,
11,-280.05994,-423.8114,3422.899,LEFT_KNEE,
12,-43.110355,-394.24652,3380.563,RIGHT_KNEE,
13,-285.20804,-797.4497,3501.6755,LEFT_FOOT,
14,-16.255579,-758.4539,3463.8857,RIGHT_FOOT,
0,-173.17155,575.28894,3519.8574,HEAD,
1,-204.50945,342.80453,3466.672,NECK,
