joint,x,y,z,jointname,voiceover
0,84.58356,589.9901,3308.797,HEAD,
1,41.74848,362.43658,3255.5193,NECK,
2,-87.271706,361.25476,3248.6187,LEFT_SHOULDER,
3,170.76866,363.61835,3262.42,RIGHT_SHOULDER,
4,-262.90616,219.44626,3262.7153,LEFT_ELBOW,
5,268.5545,173.36064,3343.3293,RIGHT_ELBOW,
6,-474.25253,91.52954,3168.4917,LEFT_HAND,
7,366.3985,71.79338,3273.742,RIGHT_HAND,
8,42.98281,184.92009,3262.8428,TORSO,
9,-45.277336,6.5838623,3265.3796,LEFT_HIP,
10,133.71162,8.223358,3274.953,RIGHT_HIP,
11,-87.17974,-373.87643,3260.7092,LEFT_KNEE,
12,210.3719,-370.26102,3250.865,RIGHT_KNEE,
13,-151.82144,-726.5459,3281.949,LEFT_FOOT,
14,303.35825,-724.09717,3268.2588,RIGHT_FOOT,
0,52.04906,597.1769,3323.4902,HEAD,
1,16.958492,362.90372,3264.4646,NECK,
2,-116.75483,360.47296,3262.0732,LEFT_SHOULDER,
3,150.6718,365.33447,3266.856,RIGHT_SHOULDER,
4,-266.9031,191.11447,3270.9512,LEFT_ELBOW,
5,243.35959,164.08846,3348.2783,RIGHT_ELBOW,
6,-449.78104,-36.42827,3097.3728,LEFT_HAND,
7,380.35577,-11.2439575,3245.6982,RIGHT_HAND,
8,20.208656,183.5908,3264.9973,TORSO,
9,-60.002125,2.7606812,3264.0374,LEFT_HIP,
10,106.91977,5.795105,3267.0227,RIGHT_HIP,
11,-96.414505,-397.69638,3273.1057,LEFT_KNEE,
12,203.92844,-370.20078,3251.31,RIGHT_KNEE,
13,-152.77368,-724.72205,3275.9124,LEFT_FOOT,
14,300.8532,-724.84644,3273.8765,RIGHT_FOOT,
0,10.366957,600.6738,3327.6946,HEAD,
1,-0.54301167,362.33072,3266.7283,NECK,
2,-130.33247,355.80035,3262.195,LEFT_SHOULDER,
3,129.24644,368.86108,3271.2615,RIGHT_SHOULDER,
4,-265.637,168.77121,3272.3354,LEFT_ELBOW,
5,221.73505,164.52657,3359.8965,RIGHT_ELBOW,
6,-415.17584,-84.04764,3120.9114,LEFT_HAND,
7,332.59583,-39.79103,3277.1655,RIGHT_HAND,
8,8.399777,183.03908,3268.9702,TORSO,
9,-71.41796,-0.7185669,3268.1118,LEFT_HIP,
10,106.103096,8.21344,3274.3125,RIGHT_HIP,
11,-104.23048,-401.18875,3274.8777,LEFT_KNEE,
12,198.02026,-368.15195,3245.7295,RIGHT_KNEE,
13,-154.2526,-730.7733,3279.3394,LEFT_FOOT,
14,301.01312,-721.9534,3273.126,RIGHT_FOOT,
0,-16.332146,600.20776,3328.7644,HEAD,
1,-15.396742,362.66605,3263.2156,NECK,
2,-138.57552,355.1894,3259.322,LEFT_SHOULDER,
3,107.78203,370.1427,3267.1091,RIGHT_SHOULDER,
4,-261.98163,144.44565,3275.452,LEFT_ELBOW,
5,202.82312,168.47595,3367.0527,RIGHT_ELBOW,
6,-375.8209,-125.69113,3150.1045,LEFT_HAND,
7,294.9557,-44.76651,3285.8462,RIGHT_HAND,
8,-4.773699,183.78336,3270.6414,TORSO,
9,-88.40416,-0.82029724,3275.088,LEFT_HIP,
10,100.10286,10.621628,3281.0464,RIGHT_HIP,
11,-107.69515,-401.22906,3271.7104,LEFT_KNEE,
12,195.77031,-365.96283,3249.4304,RIGHT_KNEE,
13,-153.89328,-736.07764,3280.1504,LEFT_FOOT,
14,295.1789,-715.3525,3277.2239,RIGHT_FOOT,
0,-41.088688,600.19904,3321.749,HEAD,
1,-40.086693,359.29364,3258.5767,NECK,
2,-165.94102,345.9313,3254.7612,LEFT_SHOULDER,
3,85.767654,372.65598,3262.392,RIGHT_SHOULDER,
4,-260.09964,127.54013,3284.182,LEFT_ELBOW,
5,168.43973,169.80565,3361.9514,RIGHT_ELBOW,
6,-345.71677,-135.49435,3181.0295,LEFT_HAND,
7,273.42743,-30.61139,3308.7131,RIGHT_HAND,
8,-21.761599,182.98451,3271.5798,TORSO,
9,-97.38022,-3.2989044,3281.735,LEFT_HIP,
10,90.5072,16.649673,3287.431,RIGHT_HIP,
11,-111.90965,-409.1292,3275.5137,LEFT_KNEE,
12,190.46213,-362.3036,3251.8235,RIGHT_KNEE,
13,-155.66156,-741.74744,3279.0857,LEFT_FOOT,
14,278.14163,-720.66016,3264.115,RIGHT_FOOT,
0,-63.207733,601.14264,3313.3923,HEAD,
1,-49.94417,364.51166,3257.6848,NECK,
2,-164.92693,352.52698,3253.5256,LEFT_SHOULDER,
3,65.03859,376.49634,3261.844,RIGHT_SHOULDER,
4,-257.34897,130.19911,3290.222,LEFT_ELBOW,
5,136.78865,177.3053,3363.75,RIGHT_ELBOW,
6,-308.28302,-118.85057,3198.1543,LEFT_HAND,
7,259.4524,-27.322617,3361.5378,RIGHT_HAND,
8,-32.10709,188.63545,3271.3564,TORSO,
9,-102.019135,3.613144,3281.854,LEFT_HIP,
10,73.479126,21.90535,3288.2021,RIGHT_HIP,
11,-118.142914,-402.0805,3274.552,LEFT_KNEE,
12,186.38818,-366.7359,3257.3472,RIGHT_KNEE,
13,-161.61821,-767.07544,3262.9905,LEFT_FOOT,
14,281.07062,-723.14233,3270.5864,RIGHT_FOOT,
0,-96.29739,607.03015,3325.891,HEAD,
1,-60.616722,363.79227,3260.0002,NECK,
2,-175.29366,350.3127,3255.9229,LEFT_SHOULDER,
3,54.060204,377.27182,3264.0776,RIGHT_SHOULDER,
4,-247.1689,114.66449,3313.926,LEFT_ELBOW,
5,131.49326,177.86281,3363.2344,RIGHT_ELBOW,
6,-291.55008,-167.75848,3221.0232,LEFT_HAND,
7,260.45493,5.3974915,3319.2083,RIGHT_HAND,
8,-40.54806,189.05647,3273.232,TORSO,
9,-106.09112,4.257553,3283.4197,LEFT_HIP,
10,65.13231,24.383804,3289.5076,RIGHT_HIP,
11,-123.37517,-401.26935,3273.9285,LEFT_KNEE,
12,175.03339,-360.6109,3269.1257,RIGHT_KNEE,
13,-158.64783,-760.8036,3266.8796,LEFT_FOOT,
14,281.76993,-723.06775,3274.1907,RIGHT_FOOT,
0,-114.41446,608.06854,3328.3643,HEAD,
1,-68.55003,361.80798,3269.236,NECK,
2,-185.81995,347.52325,3268.5486,LEFT_SHOULDER,
3,48.719887,376.0927,3269.9236,RIGHT_SHOULDER,
4,-242.62425,108.68315,3330.9941,LEFT_ELBOW,
5,129.6561,180.83855,3366.174,RIGHT_ELBOW,
6,-284.20258,-172.22157,3222.902,LEFT_HAND,
7,259.98083,6.6567535,3386.39,RIGHT_HAND,
8,-47.426144,187.94745,3278.4832,TORSO,
9,-113.24938,3.4958038,3287.2205,LEFT_HIP,
10,60.644886,24.678024,3288.24,RIGHT_HIP,
11,-136.1482,-403.12512,3273.4297,LEFT_KNEE,
12,168.76535,-356.34387,3272.4163,RIGHT_KNEE,
13,-157.3369,-760.7312,3271.9028,LEFT_FOOT,
14,278.9106,-719.9595,3270.1924,RIGHT_FOOT,
0,-130.16405,605.64404,3323.1692,HEAD,
1,-77.86785,360.28464,3283.0276,NECK,
2,-195.35272,346.97433,3280.343,LEFT_SHOULDER,
3,39.61702,373.59494,3285.7122,RIGHT_SHOULDER,
4,-242.7472,106.770996,3345.0789,LEFT_ELBOW,
5,125.35183,183.47758,3375.6985,RIGHT_ELBOW,
6,-273.72144,-182.84656,3241.4211,LEFT_HAND,
7,220.49832,8.053223,3331.0408,RIGHT_HAND,
8,-58.40539,187.0218,3290.3423,TORSO,
9,-118.79709,4.7119904,3295.8323,LEFT_HIP,
10,40.911224,22.805954,3299.4817,RIGHT_HIP,
11,-143.76395,-399.1499,3278.3464,LEFT_KNEE,
12,167.70435,-354.96375,3270.5364,RIGHT_KNEE,
13,-156.67107,-751.8748,3279.1348,LEFT_FOOT,
14,279.7174,-721.14386,3265.6953,RIGHT_FOOT,
0,-137.70923,604.3394,3317.5215,HEAD,
1,-97.526115,353.10834,3297.863,NECK,
2,-218.8594,335.14676,3297.5867,LEFT_SHOULDER,
3,23.807177,371.0699,3298.1394,RIGHT_SHOULDER,
4,-243.08498,106.14363,3352.0823,LEFT_ELBOW,
5,123.75023,178.22903,3391.3271,RIGHT_ELBOW,
6,-248.30106,-202.27959,3237.671,LEFT_HAND,
7,261.9346,4.45018,3415.7827,RIGHT_HAND,
8,-72.26798,182.46306,3299.331,TORSO,
9,-131.60587,-0.70536804,3300.6062,LEFT_HIP,
10,37.586166,24.340958,3300.992,RIGHT_HIP,
11,-140.7515,-399.74518,3282.352,LEFT_KNEE,
12,166.47113,-350.5963,3271.0325,RIGHT_KNEE,
13,-156.25307,-750.61206,3279.5605,LEFT_FOOT,
14,272.8464,-712.4075,3277.6094,RIGHT_FOOT,
0,-142.6958,600.72565,3316.3452,HEAD,
1,-109.32406,348.31302,3304.1887,NECK,
2,-234.09744,326.69507,3309.0095,LEFT_SHOULDER,
3,15.449326,369.93097,3299.368,RIGHT_SHOULDER,
4,-244.85359,101.15997,3356.4934,LEFT_ELBOW,
5,122.22513,178.88116,3389.5005,RIGHT_ELBOW,
6,-256.12332,-215.57117,3238.4504,LEFT_HAND,
7,253.21649,-20.81511,3399.3418,RIGHT_HAND,
8,-80.093636,179.38104,3303.1953,TORSO,
9,-139.61316,-4.9275513,3305.6309,LEFT_HIP,
10,37.886734,25.825684,3298.773,RIGHT_HIP,
11,-140.32896,-397.1824,3281.2996,LEFT_KNEE,
