joint,x,y,z,jointname,voiceover
0,-236.75363,575.1252,3569.3987,HEAD,
1,-220.99243,321.05225,3530.9907,NECK,
2,-357.21362,309.5866,3522.4922,LEFT_SHOULDER,
3,-84.77126,332.51794,3539.4893,RIGHT_SHOULDER,
4,-435.94412,126.21797,3582.6016,LEFT_ELBOW,
5,-29.69519,144.50807,3639.314,RIGHT_ELBOW,
6,-535.9576,-87.991486,3387.5225,LEFT_HAND,
7,22.520218,-37.613617,3484.0435,RIGHT_HAND,
8,-205.43665,148.06824,3515.0293,TORSO,
9,-275.86963,-32.15341,3493.7034,LEFT_HIP,
10,-103.89209,-17.678162,3504.4324,RIGHT_HIP,
11,-284.25455,-424.64365,3449.261,LEFT_KNEE,
12,-45.045128,-375.32437,3466.2876,RIGHT_KNEE,
13,-283.54968,-788.93726,3452.6575,LEFT_FOOT,
14,8.0054245,-704.933,3558.4082,RIGHT_FOOT,
0,-233.83266,576.40967,3574.8274,HEAD,
1,-216.50926,318.68185,3532.9902,NECK,
2,-352.9042,308.7027,3530.232,LEFT_SHOULDER,
3,-80.11436,328.661,3535.7485,RIGHT_SHOULDER,
4,-428.99057,122.08292,3576.2666,LEFT_ELBOW,
5,-21.057594,138.18387,3621.1223,RIGHT_ELBOW,
6,-524.1208,-87.868454,3362.0269,LEFT_HAND,
7,25.44743,-22.217834,3482.5583,RIGHT_HAND,
8,-203.48404,145.55626,3515.2524,TORSO,
9,-276.6947,-33.878662,3495.7708,LEFT_HIP,
10,-104.2229,-21.26001,3499.2585,RIGHT_HIP,
11,-283.51895,-424.9932,3452.5264,LEFT_KNEE,
12,-45.33606,-378.5651,3463.4502,RIGHT_KNEE,
13,-275.91464,-781.8489,3426.728,LEFT_FOOT,
14,10.759125,-707.494,3551.0916,RIGHT_FOOT,
0,-228.8183,575.7615,3578.312,HEAD,
1,-214.19261,318.83884,3534.1733,NECK,
2,-349.5766,309.40747,3534.0015,LEFT_SHOULDER,
3,-78.80864,328.2702,3534.3452,RIGHT_SHOULDER,
4,-416.9125,123.48445,3573.454,LEFT_ELBOW,
5,-18.139477,138.35161,3612.664,RIGHT_ELBOW,
6,-495.65192,-74.511185,3351.2717,LEFT_HAND,
7,36.59085,-61.558273,3406.792,RIGHT_HAND,
8,-201.98363,143.95358,3513.8657,TORSO,
9,-275.16992,-36.88063,3493.4497,LEFT_HIP,
10,-104.37938,-24.982712,3493.6665,RIGHT_HIP,
11,-282.05286,-422.7162,3454.6135,LEFT_KNEE,
12,-45.61778,-383.64917,3458.2139,RIGHT_KNEE,
13,-279.39185,-780.66486,3441.8274,LEFT_FOOT,
14,11.5407295,-710.77716,3546.3154,RIGHT_FOOT,
0,-225.51662,576.3202,3581.5608,HEAD,
1,-208.5848,317.5122,3534.425,NECK,
2,-343.418,308.36716,3534.5386,LEFT_SHOULDER,
3,-73.7516,326.65726,3534.3115,RIGHT_SHOULDER,
4,-409.6803,120.38278,3573.653,LEFT_ELBOW,
5,-13.2074585,139.69101,3600.1233,RIGHT_ELBOW,
6,-488.75037,-66.98338,3348.707,LEFT_HAND,
7,53.296883,-53.838562,3414.4392,RIGHT_HAND,
8,-196.68692,141.82458,3512.871,TORSO,
9,-266.162,-39.382156,3491.3857,LEFT_HIP,
10,-103.41608,-28.343918,3491.2485,RIGHT_HIP,
11,-281.89493,-420.61407,3455.8472,LEFT_KNEE,
12,-44.91599,-387.06012,3456.6365,RIGHT_KNEE,
13,-280.14386,-778.0615,3448.1553,LEFT_FOOT,
14,11.145111,-714.5884,3545.6914,RIGHT_FOOT,
0,-201.8816,575.21765,3602.6252,HEAD,
1,-195.62767,316.4057,3533.4724,NECK,
2,-324.88654,310.96075,3531.6016,LEFT_SHOULDER,
3,-66.36878,321.85065,3535.3433,RIGHT_SHOULDER,
4,-391.95905,116.07143,3571.7427,LEFT_ELBOW,
5,9.285706,142.66266,3600.9248,RIGHT_ELBOW,
6,-471.91125,-78.663895,3320.5444,LEFT_HAND,
7,39.282173,-30.840698,3424.0283,RIGHT_HAND,
8,-187.88449,140.20045,3511.3196,TORSO,
9,-261.54108,-39.433716,3487.9885,LEFT_HIP,
10,-98.74157,-32.575867,3490.345,RIGHT_HIP,
11,-281.5678,-414.7572,3460.713,LEFT_KNEE,
12,-43.364193,-391.8602,3456.1265,RIGHT_KNEE,
13,-281.69827,-773.68445,3451.6602,LEFT_FOOT,
14,12.0233,-718.3808,3545.553,RIGHT_FOOT,
0,-187.37549,578.01794,3591.6726,HEAD,
1,-180.93425,315.17972,3535.3394,NECK,
2,-308.35693,312.9878,3531.3347,LEFT_SHOULDER,
3,-53.51157,317.37164,3539.344,RIGHT_SHOULDER,
4,-372.73804,112.26727,3569.6025,LEFT_ELBOW,
5,4.978073,130.1986,3596.3574,RIGHT_ELBOW,
6,-426.44693,-58.76674,3348.5696,LEFT_HAND,
7,42.3094,-53.439102,3418.1646,RIGHT_HAND,
8,-177.09108,136.17072,3511.0352,TORSO,
9,-252.58176,-44.202988,3484.2375,LEFT_HIP,
10,-93.914085,-41.473587,3489.2244,RIGHT_HIP,
11,-278.65063,-411.37665,3468.5706,LEFT_KNEE,
12,-40.50209,-402.26807,3456.8801,RIGHT_KNEE,
13,-282.75293,-764.49695,3456.6956,LEFT_FOOT,
14,11.319489,-730.6009,3546.4448,RIGHT_FOOT,
0,-181.25432,578.12836,3596.5972,HEAD,
1,-174.57143,314.28363,3537.1812,NECK,
2,-301.09296,310.57126,3533.8665,LEFT_SHOULDER,
3,-48.04987,317.99597,3540.4958,RIGHT_SHOULDER,
4,-356.39417,104.09619,3574.78,LEFT_ELBOW,
5,12.119541,132.14238,3592.741,RIGHT_ELBOW,
6,-410.795,-40.10971,3411.569,LEFT_HAND,
7,63.22431,-77.2807,3381.8037,RIGHT_HAND,
8,-168.73032,136.74326,3513.0667,TORSO,
9,-247.23572,-43.271973,3486.7424,LEFT_HIP,
10,-78.5427,-38.322235,3491.1619,RIGHT_HIP,
11,-279.37482,-408.71463,3467.6309,LEFT_KNEE,
12,-38.632504,-404.77512,3456.1572,RIGHT_KNEE,
13,-283.23492,-761.96124,3459.7656,LEFT_FOOT,
14,12.318493,-735.21936,3543.547,RIGHT_FOOT,
0,-175.72765,576.9004,3599.453,HEAD,
1,-165.15704,315.95544,3540.7485,NECK,
2,-293.78012,311.21793,3542.1382,LEFT_SHOULDER,
3,-36.53397,320.69293,3539.359,RIGHT_SHOULDER,
4,-333.67102,104.097275,3565.3032,LEFT_ELBOW,
5,19.656254,126.339554,3588.7993,RIGHT_ELBOW,
6,-395.21317,-59.50853,3386.5505,LEFT_HAND,
7,62.781464,-92.967316,3386.981,RIGHT_HAND,
8,-158.96045,139.93037,3514.199,TORSO,
9,-242.91965,-39.415344,3488.6235,LEFT_HIP,
10,-62.60806,-32.774017,3486.6753,RIGHT_HIP,
11,-276.22852,-404.6537,3469.2253,LEFT_KNEE,
12,-35.52793,-408.5198,3454.0972,RIGHT_KNEE,
13,-282.65085,-757.38525,3460.849,LEFT_FOOT,
14,16.54013,-741.59204,3538.3962,RIGHT_FOOT,
0,-164.63031,575.4026,3603.0293,HEAD,
1,-151.61363,315.04474,3549.713,NECK,
2,-285.2054,309.94867,3552.9575,LEFT_SHOULDER,
3,-18.02187,320.1408,3546.4683,RIGHT_SHOULDER,
4,-318.62695,101.49405,3566.933,LEFT_ELBOW,
5,36.43531,116.9913,3583.569,RIGHT_ELBOW,
6,-373.40482,-85.35245,3363.1152,LEFT_HAND,
7,61.85224,-93.11536,3383.9531,RIGHT_HAND,
8,-145.77307,142.27426,3518.8323,TORSO,
9,-226.41606,-33.795258,3490.0522,LEFT_HIP,
10,-53.448956,-27.197174,3485.851,RIGHT_HIP,
11,-255.0376,-399.68576,3463.0076,LEFT_KNEE,
12,-27.791195,-404.84702,3458.3398,RIGHT_KNEE,
13,-279.78137,-757.55566,3454.399,LEFT_FOOT,
14,19.66558,-741.0125,3539.915,RIGHT_FOOT,
0,-145.68584,571.34265,3611.0796,HEAD,
1,-142.42282,315.28915,3559.352,NECK,
2,-275.82965,311.8624,3559.7976,LEFT_SHOULDER,
3,-9.015982,318.7159,3558.9065,RIGHT_SHOULDER,
4,-297.84573,105.87459,3584.8489,LEFT_ELBOW,
5,46.58042,118.05888,3579.54,RIGHT_ELBOW,
6,-361.74954,-113.82268,3381.574,LEFT_HAND,
7,66.302,-112.96127,3402.9392,RIGHT_HAND,
8,-138.10568,142.59715,3523.8018,TORSO,
9,-220.3247,-32.317657,3488.5405,LEFT_HIP,
10,-47.252365,-27.87204,3487.9624,RIGHT_HIP,
11,-243.50316,-399.07184,3460.278,LEFT_KNEE,
12,-10.179451,-406.2249,3468.7937,RIGHT_KNEE,
13,-279.49655,-756.4232,3454.014,LEFT_FOOT,
14,28.295208,-744.83405,3542.116,RIGHT_FOOT,
0,-128.47697,570.4801,3620.67,HEAD,
1,-130.13997,316.89587,3565.2603,NECK,
2,-260.1206,314.21313,3567.8425,LEFT_SHOULDER,
3,-0.15931153,319.5786,3562.678,RIGHT_SHOULDER,
4,-279.11368,104.5562,3612.8655,LEFT_ELBOW,
5,54.326687,120.17383,3578.6113,RIGHT_ELBOW,
6,-340.11758,-120.31795,3425.717,LEFT_HAND,
7,71.905975,-96.50426,3419.0134,RIGHT_HAND,
8,-127.38248,146.08482,3526.6033,TORSO,
9,-206.31671,-26.412292,3489.569,LEFT_HIP,
10,-42.93326,-23.040161,3486.3235,RIGHT_HIP,
11,-229.51051,-397.35675,3458.243,LEFT_KNEE,
12,-7.805355,-400.62897,3469.5254,RIGHT_KNEE,
13,-277.49054,-755.9873,3456.676,LEFT_FOOT,
14,27.229,-740.06854,3541.378,RIGHT_FOOT,
0,-116.81154,569.8419,3625.3125,HEAD,
1,-115.921425,312.8452,3564.1038,NECK,
2,-245.59932,312.03918,3571.972,LEFT_SHOULDER,
3,13.756459,313.65125,3556.2356,RIGHT_SHOULDER,
4,-269.59134,99.97424,3617.7305,LEFT_ELBOW,
5,65.04736,113.601715,3575.182,RIGHT_ELBOW,
6,-305.18124,-150.88832,3408.2886,LEFT_HAND,
7,92.90488,-97.96187,3442.2278,RIGHT_HAND,
8,-117.26046,143.96172,3524.7341,TORSO,
9,-200.1096,-25.428421,3490.31,LEFT_HIP,
10,-37.08939,-24.415146,3480.419,RIGHT_HIP,
11,-222.04587,-395.89355,3460.8203,LEFT_KNEE,
12,-1.7632103,-400.628,3464.7603,RIGHT_KNEE,
13,-266.73053,-749.09735,3491.2795,LEFT_FOOT,
14,27.76995,-741.6537,3538.2412,RIGHT_FOOT,
0,-104.96367,572.4592,3629.6868,HEAD,
1,-105.12756,311.25848,3564.3105,NECK,
2,-235.89139,311.84186,3573.8467,LEFT_SHOULDER,
3,25.636261,310.6751,3554.7744,RIGHT_SHOULDER,
4,-264.93198,94.47258,3620.885,LEFT_ELBOW,
5,72.69149,104.38422,3574.4849,RIGHT_ELBOW,
6,-298.64728,-180.27922,3433.4478,LEFT_HAND,
7,96.79359,-123.48212,3447.9065,RIGHT_HAND,
8,-108.80516,142.42743,3524.21,TORSO,
9,-194.79468,-26.036423,3490.112,LEFT_HIP,
10,-30.170837,-26.770828,3478.1067,RIGHT_HIP,
11,-221.68558,-397.7328,3460.6755,LEFT_KNEE,
12,5.0863495,-400.63434,3463.8806,RIGHT_KNEE,
