joint,x,y,z
0,261.89224,440.28226,1401.9912
1,299.87128,282.7757,1357.7435
2,178.53117,281.8329,1426.5378
3,421.2114,283.71854,1288.9492
4,120.67818,70.788925,1401.3214
5,537.4232,205.45659,1191.64
6,252.96133,172.88284,1289.1663
7,550.68,200.2696,1063.9434
8,295.07968,102.91432,1346.827
9,217.30417,-77.51415,1377.2891
10,363.272,-76.37998,1294.532
11,218.7585,-404.92575,1394.0656
12,369.85318,-381.34952,1277.0095
13,248.64355,-741.1998,1451.8539
14,364.9095,-728.7253,1369.4702
0,262.39847,436.37952,1407.477
1,302.2465,286.30777,1372.6718
2,179.27452,282.3752,1448.8842
3,425.21848,290.2403,1296.4594
4,119.92416,70.226,1400.8844
5,542.1971,203.7433,1191.0383
6,255.89719,178.4042,1282.1383
7,555.8068,197.66348,1074.549
8,296.509,104.68354,1354.0422
9,219.83601,-79.209145,1379.3752
10,361.707,-74.67222,1291.4502
11,220.148,-406.17862,1396.0393
12,370.0547,-383.699,1275.3499
13,253.47711,-741.4435,1455.0221
14,364.74857,-727.93304,1368.9795
0,263.79556,433.81458,1408.9896
1,301.68903,286.88098,1372.5187
2,179.09056,282.50266,1445.2764
3,424.2875,291.25934,1299.761
4,121.81592,74.857376,1404.9354
5,544.0895,200.0687,1190.5437
6,248.94394,179.88065,1282.4323
7,557.91095,186.54642,1080.2848
8,296.8863,105.06195,1353.4845
9,219.58974,-79.346054,1377.4727
10,364.57736,-74.16814,1291.428
11,213.17436,-425.9801,1417.0166
12,370.35654,-383.1977,1275.3527
13,255.77197,-741.4734,1454.7671
14,366.84018,-727.9684,1371.8464
0,265.589,432.4297,1410.9886
1,303.9502,286.26123,1374.0374
2,181.20035,281.17746,1445.2953
3,426.70004,291.34497,1302.7794
4,125.229645,80.07764,1411.6991
5,537.0108,198.85773,1224.7397
6,253.30975,187.56781,1274.0829
7,558.86334,169.67926,1088.6239
8,299.4793,105.58517,1353.4457
9,222.72775,-78.08444,1374.8138
10,367.2891,-72.097336,1290.8942
11,216.2835,-419.0769,1405.7743
12,372.18396,-388.02856,1274.8867
13,258.08273,-742.44714,1454.7876
14,363.18594,-722.7689,1372.2944
0,267.30493,431.10535,1412.2649
1,305.86185,285.37958,1372.7979
2,183.49316,279.70502,1443.9087
3,428.23053,291.05417,1301.687
4,128.40166,80.50595,1418.4493
5,538.3911,186.995,1237.7745
6,256.7118,192.2489,1263.6497
7,555.1763,151.34229,1080.6047
8,302.07858,105.63825,1351.9443
9,224.54721,-77.52299,1373.9473
10,372.04343,-70.683174,1288.2344
11,217.21173,-416.0472,1396.4777
12,354.00253,-399.73227,1289.5765
13,258.23053,-747.3705,1459.5713
14,362.16568,-721.8203,1369.516
0,272.32574,428.40692,1412.8795
1,306.4196,282.79047,1370.9939
2,183.9974,277.82178,1443.6238
3,428.84177,287.75916,1298.364
4,129.86476,77.6725,1421.7614
5,547.0942,177.92926,1242.3936
6,265.0943,204.12863,1243.8867
7,353.57843,293.25024,1244.9417
8,302.39178,103.90828,1351.9672
9,225.22273,-77.942444,1376.3331
10,371.50522,-72.00537,1289.5477
11,219.51828,-413.97583,1395.0974
12,358.34656,-406.50497,1252.6779
13,258.59174,-748.943,1465.9265
14,359.1433,-720.756,1367.528
0,276.34933,427.60443,1414.5564
1,309.2043,280.56128,1375.8285
2,186.4694,275.38324,1449.1177
3,431.9392,285.73932,1302.5393
4,134.24713,71.78883,1400.2518
5,549.4928,170.52176,1247.074
6,268.77322,222.31879,1220.2964
7,342.48193,304.51892,1223.5768
8,304.19028,101.798996,1354.8016
9,226.53137,-80.02809,1377.1536
10,371.8211,-73.89848,1290.396
11,219.49901,-413.96118,1400.6235
12,363.35852,-402.2796,1262.0582
13,258.88214,-750.38324,1471.5763
14,354.48886,-722.94403,1369.2626
0,279.0003,427.47876,1414.5935
1,311.19336,276.67072,1379.6548
2,187.37038,270.65564,1451.8318
3,435.01633,282.6858,1307.4778
4,132.00594,86.809845,1370.4377
5,534.6134,147.24048,1243.4929
6,267.54,228.98561,1194.7487
7,327.96106,319.6417,1189.027
8,306.46075,95.51882,1356.439
9,231.73143,-89.03336,1374.0245
10,371.72488,-82.232765,1292.4218
11,243.7897,-399.5667,1432.5758
12,366.1594,-407.32156,1270.5005
13,256.95886,-748.65295,1473.1646
14,359.56238,-729.9371,1375.4976
0,281.48373,427.96027,1414.4235
1,311.29053,270.51233,1380.1975
2,188.6612,263.385,1454.0594
3,433.91986,277.63968,1306.3356
4,135.2755,89.19058,1325.0422
5,524.84155,125.250015,1241.952
6,295.09195,271.5398,1155.5834
7,372.78827,61.7253,1042.3528
8,306.70697,88.395386,1355.0142
9,234.7443,-97.63771,1370.4146
10,369.50253,-89.805435,1289.2471
11,212.43889,-412.75507,1420.8583
12,367.36542,-416.53723,1270.5216
13,261.34723,-743.3429,1473.2267
14,360.0304,-740.29694,1378.6188
0,292.30377,430.3896,1408.7646
1,311.44333,273.31616,1379.9481
2,188.4641,267.3316,1451.7316
3,434.42255,279.3007,1308.1647
4,137.38286,94.38893,1300.8354
5,517.8666,115.36667,1241.354
6,283.51065,278.3174,1116.4927
7,332.48914,63.996296,1079.7737
8,306.14978,92.73586,1355.8243
9,231.66464,-91.2115,1372.088
10,370.04782,-84.477356,1291.3131
11,202.30824,-424.79517,1406.894
12,369.22443,-408.19513,1275.799
13,261.5235,-746.19006,1465.5767
14,361.0717,-737.00916,1382.8566
0,289.09454,429.62518,1411.7639
1,314.05405,272.23035,1382.3839
2,188.7686,267.02222,1450.835
3,439.33948,277.43848,1313.9329
4,137.31752,101.11963,1274.9648
5,510.3981,102.87273,1240.7418
6,272.19196,283.26376,1073.6971
7,296.33923,86.11004,1119.9524
8,308.2358,93.01825,1358.0994
9,232.4241,-89.103485,1372.0565
10,372.41104,-83.28421,1295.5731
11,211.84882,-421.4353,1410.9166
12,374.87027,-404.48843,1289.431
13,263.84467,-744.7889,1466.5378
14,361.4345,-738.3492,1382.0664
0,292.655,427.7177,1416.04
1,314.62262,269.8202,1379.2898
2,190.66885,265.79675,1443.0513
3,438.5764,273.8436,1315.5283
4,157.9774,139.8898,1212.0643
5,496.34158,83.39163,1264.6177
6,265.2916,293.87836,1024.4886
7,278.22055,119.23234,1150.1406
8,308.63016,92.08168,1356.4248
9,231.91722,-87.95233,1369.9382
10,373.3582,-83.3613,1297.1814
11,210.11539,-428.71277,1406.1895
12,376.37015,-400.93387,1292.5898
13,263.01874,-745.5452,1466.2687
14,363.02695,-741.7855,1383.1542
0,292.91196,428.00507,1416.2668
1,316.23004,269.92416,1370.9491
2,192.30826,269.25238,1423.2119
3,440.15182,270.59592,1318.6863
4,162.81993,140.35808,1214.6101
5,490.33237,71.36755,1271.486
6,278.7305,266.7259,1069.717
