joint,x,y,z,jointname
0,456.63812,409.94473,1370.7766,HEAD
1,479.56882,283.0232,1330.6937,NECK
2,352.045,283.80768,1387.3986,LEFT_SHOULDER
3,607.0926,282.2387,1273.9889,RIGHT_SHOULDER
4,307.08176,62.963135,1392.7574,LEFT_ELBOW
5,649.2684,43.10933,1303.5522,RIGHT_ELBOW
6,223.6795,-77.2802,1097.3512,LEFT_HAND
7,541.486,-68.92342,1167.4999,RIGHT_HAND
8,473.93887,105.17273,1320.4929,TORSO
9,392.31168,-72.21023,1344.0851,LEFT_HIP
10,544.30615,-73.14524,1276.4991,RIGHT_HIP
11,380.615,-455.28387,1394.4103,LEFT_KNEE
12,555.9036,-458.6642,1260.3474,RIGHT_KNEE
13,411.94955,-755.26245,1455.1686,LEFT_FOOT
14,542.1385,-782.15515,1339.2445,RIGHT_FOOT
0,453.74622,411.2033,1370.797,HEAD
1,473.81528,277.69876,1334.0233,NECK
2,346.74228,278.77747,1391.425,LEFT_SHOULDER
3,600.8883,276.62006,1276.6216,RIGHT_SHOULDER
4,301.73547,57.024323,1393.7644,LEFT_ELBOW
5,648.89966,43.51999,1324.7036,RIGHT_ELBOW
6,219.63162,-65.85003,1095.7709,LEFT_HAND
7,566.4694,-115.868866,1171.9932,RIGHT_HAND
8,468.93268,101.28143,1326.5297,TORSO
9,389.02402,-74.499,1352.927,LEFT_HIP
10,539.0762,-75.77279,1285.145,RIGHT_HIP
11,380.7104,-435.44595,1394.6464,LEFT_KNEE
12,552.8182,-438.20023,1261.6962,RIGHT_KNEE
13,411.20105,-777.093,1461.5374,LEFT_FOOT
14,541.9018,-775.13666,1353.7911,RIGHT_FOOT
0,444.52032,413.17633,1365.8556,HEAD
1,467.4876,274.6886,1336.4001,NECK
2,338.45215,275.32217,1394.9833,LEFT_SHOULDER
3,596.5231,274.05505,1277.817,RIGHT_SHOULDER
4,297.63834,54.195374,1393.2031,LEFT_ELBOW
5,648.1961,45.779724,1333.4927,RIGHT_ELBOW
6,218.56711,-54.1493,1091.9508,LEFT_HAND
7,598.2551,-125.375916,1183.0924,RIGHT_HAND
8,463.40158,98.99573,1329.3002,TORSO
9,384.46048,-76.32963,1356.1849,LEFT_HIP
10,534.1706,-77.06469,1288.2155,RIGHT_HIP
11,376.5323,-457.3333,1407.9624,LEFT_KNEE
12,552.8495,-457.06644,1261.1201,RIGHT_KNEE
13,402.40784,-776.036,1460.905,LEFT_FOOT
14,543.9954,-784.9711,1357.4053,RIGHT_FOOT
0,443.82352,412.30246,1366.7268,HEAD
1,449.06042,278.1015,1352.297,NECK
2,321.8934,272.28397,1407.7352,LEFT_SHOULDER
3,576.2275,283.91904,1296.8588,RIGHT_SHOULDER
4,291.74783,51.827957,1396.1008,LEFT_ELBOW
5,644.0952,49.860687,1336.8779,RIGHT_ELBOW
6,206.42424,-47.56225,1094.1248,LEFT_HAND
7,606.55194,-115.219604,1206.7041,RIGHT_HAND
8,451.4643,99.96979,1339.1183,TORSO
9,378.26038,-81.620766,1358.9006,LEFT_HIP
10,529.47595,-74.70309,1292.9785,RIGHT_HIP
11,370.9954,-443.07877,1405.5348,LEFT_KNEE
12,552.6072,-452.04977,1262.7361,RIGHT_KNEE
13,398.95724,-787.7366,1462.8378,LEFT_FOOT
14,545.15894,-781.9496,1366.5951,RIGHT_FOOT
0,438.0996,414.4809,1364.7762,HEAD
1,443.1133,279.87323,1357.1919,NECK
2,316.22418,272.5807,1411.7418,LEFT_SHOULDER
3,570.0025,287.1658,1302.642,RIGHT_SHOULDER
4,274.73456,49.851913,1402.8563,LEFT_ELBOW
5,640.3604,51.757584,1338.189,RIGHT_ELBOW
6,187.88882,-27.13218,1100.9238,LEFT_HAND
7,643.1226,-125.58153,1234.0697,RIGHT_HAND
8,446.859,100.806854,1341.966,TORSO
9,373.5684,-82.68696,1359.858,LEFT_HIP
10,527.641,-73.832115,1293.622,RIGHT_HIP
11,366.28973,-462.32135,1404.9191,LEFT_KNEE
12,546.93365,-450.76038,1266.8286,RIGHT_KNEE
13,392.9637,-786.3024,1474.9253,LEFT_FOOT
14,545.58026,-781.8207,1374.6348,RIGHT_FOOT
0,435.7698,415.217,1367.6157,HEAD
1,437.79703,281.1114,1359.4358,NECK
2,309.38394,272.78748,1415.9336,LEFT_SHOULDER
3,566.2101,289.4353,1302.938,RIGHT_SHOULDER
4,264.3292,47.95929,1406.5087,LEFT_ELBOW
5,634.68317,57.906174,1342.5844,RIGHT_ELBOW
6,180.25873,-9.756008,1116.0565,LEFT_HAND
7,669.14557,-164.57822,1278.1248,RIGHT_HAND
8,442.42383,101.62353,1343.5076,TORSO
9,368.9026,-82.93,1361.962,LEFT_HIP
10,525.1987,-72.79865,1293.1967,RIGHT_HIP
11,353.87888,-460.94736,1395.5105,LEFT_KNEE
