joint,x,y,z,jointname
0,-61.901665,301.83786,1211.1554,HEAD
1,-20.681976,75.83,1173.6836,NECK
2,-166.64049,62.4337,1174.0063,LEFT_SHOULDER
3,125.27654,89.2263,1173.3608,RIGHT_SHOULDER
4,-243.06125,-132.2194,1133.6769,LEFT_ELBOW
5,119.59506,-87.4998,1126.9961,RIGHT_ELBOW
6,-221.26329,-180.496,1009.1411,LEFT_HAND
7,53.560333,-141.10173,965.19275,RIGHT_HAND
8,-9.794576,-44.957436,1083.858,TORSO
9,-115.76768,-176.47052,994.2909,LEFT_HIP
10,117.953316,-155.01923,993.77405,RIGHT_HIP
11,-170.24504,-431.19873,1095.8027,LEFT_KNEE
12,117.953316,-434.58835,993.77405,RIGHT_KNEE
13,-103.76187,-673.2968,1191.8799,LEFT_FOOT
14,117.953316,-703.4048,993.77405,RIGHT_FOOT
0,-58.83439,301.09735,1213.892,HEAD
1,-16.796522,73.267746,1175.3798,NECK
2,-161.52455,55.28926,1180.403,LEFT_SHOULDER
3,127.9315,91.24625,1170.3566,RIGHT_SHOULDER
4,-234.051,-135.84164,1142.4423,LEFT_ELBOW
5,122.21947,-84.14348,1123.5879,RIGHT_ELBOW
6,-221.24092,-186.06929,1016.8458,LEFT_HAND
7,62.846493,-144.57556,962.9507,RIGHT_HAND
8,-4.1189885,-51.612926,1093.6836,TORSO
9,-109.596954,-191.17119,1016.08826,LEFT_HIP
10,126.71405,-161.81601,1007.8866,RIGHT_HIP
11,-170.78374,-447.93182,1102.5591,LEFT_KNEE
12,126.71405,-439.56955,1007.8866,RIGHT_KNEE
13,-106.55084,-687.75806,1200.9679,LEFT_FOOT
14,126.71405,-706.64026,1007.8866,RIGHT_FOOT
0,-55.48475,300.5142,1215.3203,HEAD
1,-6.8541985,57.73809,1160.6633,NECK
2,-149.30792,35.680893,1171.7769,LEFT_SHOULDER
3,135.59955,79.79529,1149.5498,RIGHT_SHOULDER
4,-232.9314,-139.03874,1141.9618,LEFT_ELBOW
5,131.6106,-93.83821,1131.4785,RIGHT_ELBOW
6,-207.3745,-194.58934,1014.21216,LEFT_HAND
7,79.14485,-153.81291,976.1033,RIGHT_HAND
8,5.834667,-62.582054,1084.5084,TORSO
9,-96.97791,-200.78616,1017.36444,LEFT_HIP
10,134.025,-165.01822,999.3427,RIGHT_HIP
11,-162.5206,-441.67468,1112.2251,LEFT_KNEE
12,134.025,-432.0794,999.3427,RIGHT_KNEE
13,-102.97453,-679.72235,1187.9116,LEFT_FOOT
14,134.025,-688.869,999.3427,RIGHT_FOOT
0,-50.95185,299.61423,1217.4443,HEAD
1,-1.9599819,52.927406,1169.1318,NECK
