joint,x,y,z,jointname
0,-52.883156,601.0094,3332.8738,HEAD
1,-23.28243,356.39496,3274.0137,NECK
2,-156.73367,352.60248,3291.0872,LEFT_SHOULDER
3,110.16882,360.18744,3256.9402,RIGHT_SHOULDER
4,-214.94217,131.76518,3352.9626,LEFT_ELBOW
5,269.3371,179.01762,3308.3657,RIGHT_ELBOW
6,-364.05676,-110.26297,3253.544,LEFT_HAND
7,487.8422,-15.547287,3270.022,RIGHT_HAND
8,-18.704927,173.86407,3269.2478,TORSO
9,-98.16915,-11.055145,3275.2341,LEFT_HIP
10,69.9143,-6.278473,3253.7297,RIGHT_HIP
11,-134.80246,-385.32913,3281.893,LEFT_KNEE
12,111.375595,-371.8881,3234.128,RIGHT_KNEE
13,-163.71292,-680.6374,3366.5132,LEFT_FOOT
14,165.48401,-713.4626,3307.0054,RIGHT_FOOT
0,-33.18545,605.33167,3337.1106,HEAD
1,-21.147652,354.13837,3275.169,NECK
2,-155.54515,350.4204,3292.652,LEFT_SHOULDER
3,113.24984,357.85635,3257.6858,RIGHT_SHOULDER
4,-215.2495,130.68445,3352.0227,LEFT_ELBOW
5,265.21536,173.20602,3309.7954,RIGHT_ELBOW
6,-379.75848,-96.03078,3263.2344,LEFT_HAND
7,471.63666,-36.12596,3273.1172,RIGHT_HAND
8,-16.84204,172.92676,3269.7307,TORSO
9,-96.55967,-10.609283,3275.2227,LEFT_HIP
10,71.48681,-5.960449,3253.3623,RIGHT_HIP
11,-130.73824,-380.1777,3287.5024,LEFT_KNEE
12,112.12956,-370.91605,3233.9556,RIGHT_KNEE
13,-162.12941,-673.6977,3364.141,LEFT_FOOT
14,165.08107,-710.8943,3301.4744,RIGHT_FOOT
0,-14.319425,603.93585,3332.5876,HEAD
1,-15.7869,352.35144,3275.5767,NECK
2,-149.39241,349.06732,3295.3333,LEFT_SHOULDER
3,117.81861,355.6355,3255.82,RIGHT_SHOULDER
4,-214.94206,130.98027,3351.2017,LEFT_ELBOW
5,258.21075,166.93677,3311.8567,RIGHT_ELBOW
6,-381.3222,-82.18001,3262.502,LEFT_HAND
7,461.96906,-58.289505,3276.3586,RIGHT_HAND
8,-12.233457,172.43088,3269.6992,TORSO
9,-89.967705,-9.487762,3275.842,LEFT_HIP
10,72.60767,-5.491577,3251.8015,RIGHT_HIP
11,-125.55836,-378.88382,3291.495,LEFT_KNEE
12,113.36513,-372.63193,3236.5605,RIGHT_KNEE
13,-155.25827,-673.3888,3368.3909,LEFT_FOOT
14,161.8584,-729.8937,3279.8425,RIGHT_FOOT
0,-4.4021983,603.15924,3329.6213,HEAD
1,-12.127461,351.80768,3275.1797,NECK
2,-144.6383,349.54047,3295.6243,LEFT_SHOULDER
3,120.38338,354.07492,3254.735,RIGHT_SHOULDER
4,-213.40442,132.09636,3349.4348,LEFT_ELBOW
5,247.77133,164.63889,3316.312,RIGHT_ELBOW
6,-388.48795,-65.392654,3254.589,LEFT_HAND
7,445.75305,-72.32849,3276.3186,RIGHT_HAND
8,-9.918894,171.85638,3269.5386,TORSO
9,-90.54364,-9.5121765,3276.6775,LEFT_HIP
10,75.122986,-6.6776733,3251.1174,RIGHT_HIP
11,-123.986786,-379.86935,3292.2834,LEFT_KNEE
12,114.7836,-375.04062,3237.0967,RIGHT_KNEE
13,-152.74374,-672.8921,3371.437,LEFT_FOOT
14,162.03847,-726.77905,3293.5117,RIGHT_FOOT
0,9.304256,602.11444,3326.217,HEAD
1,-4.3813767,355.4116,3274.9402,NECK
2,-132.68355,354.7432,3295.8445,LEFT_SHOULDER
3,123.92081,356.08,3254.036,RIGHT_SHOULDER
4,-215.45343,142.50984,3344.052,LEFT_ELBOW
5,244.43323,165.7309,3315.6477,RIGHT_ELBOW
6,-401.36328,-50.048065,3255.4158,LEFT_HAND
