joint,x,y,z,jointname
0,-88.87686,598.5112,3414.5564,HEAD
1,-87.442,341.40662,3341.8562,NECK
2,-106.24346,338.69965,3241.0652,LEFT_SHOULDER
3,-68.64054,344.11353,3442.6472,RIGHT_SHOULDER
4,-48.24855,113.76396,3156.1465,LEFT_ELBOW
5,36.515976,241.04135,3459.0305,RIGHT_ELBOW
6,143.39503,74.360466,3282.1052,LEFT_HAND
7,148.28201,173.09543,3393.7742,RIGHT_HAND
8,-93.40601,142.46869,3348.3115,TORSO
9,-111.872635,-58.269287,3287.7427,LEFT_HIP
10,-86.86742,-54.66916,3421.791,RIGHT_HIP
11,-137.25345,-395.8913,3139.64,LEFT_KNEE
12,-25.497898,-403.21167,3380.658,RIGHT_KNEE
13,-286.67554,-699.86426,3109.2476,LEFT_FOOT
14,-123.03157,-762.709,3383.2883,RIGHT_FOOT
0,-91.268036,595.8822,3418.2708,HEAD
1,-81.63751,326.77808,3348.5667,NECK
2,-99.9107,325.6615,3252.2822,LEFT_SHOULDER
3,-63.364326,327.89465,3444.851,RIGHT_SHOULDER
4,-16.21257,85.17285,3175.4722,LEFT_ELBOW
5,20.131485,225.74469,3474.2942,RIGHT_ELBOW
6,130.6679,56.481033,3268.3716,LEFT_HAND
7,134.17877,150.39352,3421.6672,RIGHT_HAND
8,-83.99397,135.99023,3351.2263,TORSO
9,-97.6287,-55.486755,3294.459,LEFT_HIP
10,-75.07217,-54.10846,3413.313,RIGHT_HIP
11,-91.55312,-388.03854,3154.786,LEFT_KNEE
12,-23.134857,-399.07077,3372.0208,RIGHT_KNEE
13,-150.91266,-732.5381,3317.5059,LEFT_FOOT
14,-116.52591,-756.11163,3371.0757,RIGHT_FOOT
0,-99.66384,591.90344,3430.9324,HEAD
1,-82.78408,312.58087,3371.5088,NECK
2,-102.28564,317.68292,3268.5461,LEFT_SHOULDER
3,-63.282524,307.47888,3474.4714,RIGHT_SHOULDER
4,-5.991371,79.460175,3189.8303,LEFT_ELBOW
5,10.086609,204.14923,3487.9858,RIGHT_ELBOW
6,19.106516,-117.19644,3154.4128,LEFT_HAND
7,81.592804,-21.324509,3671.1213,RIGHT_HAND
8,-81.31106,124.28595,3361.8994,TORSO
9,-87.38827,-62.033684,3312.427,LEFT_HIP
10,-72.2878,-65.98429,3392.153,RIGHT_HIP
11,-44.538795,-372.2813,3162.3218,LEFT_KNEE
12,18.663887,-364.1572,3469.73,RIGHT_KNEE
13,-208.41461,-687.8424,3107.0864,LEFT_FOOT
14,-163.61255,-584.63025,3135.0388,RIGHT_FOOT
0,-96.59311,592.2803,3429.0637,HEAD
1,-104.52217,319.52386,3400.9443,NECK
2,-136.17845,335.4052,3293.0984,LEFT_SHOULDER
3,-72.86589,303.6425,3508.7903,RIGHT_SHOULDER
4,-159.4801,109.609955,3228.8518,LEFT_ELBOW
5,5.8363113,174.65248,3498.4104,RIGHT_ELBOW
6,21.758652,-103.47766,3143.698,LEFT_HAND
7,199.2172,-1.3469543,3643.715,RIGHT_HAND
8,-91.11788,131.6078,3369.3372,TORSO
9,-83.944756,-53.18219,3316.5017,LEFT_HIP
10,-71.48243,-59.434296,3358.9583,RIGHT_HIP
11,-18.035904,-369.49738,3166.809,LEFT_KNEE
12,21.577682,-372.237,3476.083,RIGHT_KNEE
13,-188.93137,-672.8718,3096.9287,LEFT_FOOT
14,-163.26569,-591.83746,3138.6294,RIGHT_FOOT
0,-95.387634,595.3037,3440.6882,HEAD
1,-108.67418,321.15564,3411.7136,NECK
2,-151.975,334.14133,3308.8267,LEFT_SHOULDER
3,-65.373344,308.16995,3514.6006,RIGHT_SHOULDER
4,-208.36497,118.149216,3229.9182,LEFT_ELBOW
5,-17.131805,99.28972,3636.9802,RIGHT_ELBOW
6,-18.9581,-95.42099,3157.3352,LEFT_HAND
7,279.60934,13.000526,3627.166,RIGHT_HAND
8,-89.42213,129.23967,3379.389,TORSO
9,-77.564766,-60.45868,3329.4937,LEFT_HIP
10,-62.775383,-64.89393,3364.6348,RIGHT_HIP
11,29.92434,-368.60394,3168.1072,LEFT_KNEE
12,22.850906,-361.77963,3493.3757,RIGHT_KNEE
13,-152.4328,-693.6754,3120.5454,LEFT_FOOT
14,-9.03895,-630.5409,3755.0361,RIGHT_FOOT
0,-97.01857,595.52234,3443.7458,HEAD
1,-112.67178,324.15704,3418.5637,NECK
2,-158.94426,333.34473,3315.7961,LEFT_SHOULDER
