joint,x,y,z,jointname,time,voiceover
0,-121.580246,470.76248,3073.0906,HEAD,105234,0
1,-98.44907,212.80582,2988.735,NECK,105234,0
2,-222.8906,200.25674,2939.0205,LEFT_SHOULDER,105234,0
3,25.99243,225.35489,3038.4497,RIGHT_SHOULDER,105234,0
4,-287.25156,-14.571686,2973.7466,LEFT_ELBOW,105234,0
5,160.7454,36.136215,3077.0156,RIGHT_ELBOW,105234,0
6,-337.96466,-295.34033,2849.3582,LEFT_HAND,105234,0
7,296.8257,-32.424606,2836.882,RIGHT_HAND,105234,0
8,-78.40398,20.771631,2987.0337,TORSO,105234,0
9,-131.51921,-178.64026,2956.1047,LEFT_HIP,105234,0
10,14.801462,-163.88483,3014.5598,RIGHT_HIP,105234,0
11,-123.13275,-617.86646,2826.922,LEFT_KNEE,105234,0
12,147.13084,-534.0492,2856.7087,RIGHT_KNEE,105234,0
13,-120.07228,-1021.89954,2879.9185,LEFT_FOOT,105234,0
14,68.30318,-940.58185,2967.8005,RIGHT_FOOT,105234,0
0,-111.31527,470.01794,3074.062,HEAD,105234,0
1,-91.13507,230.00247,2994.582,NECK,105234,0
2,-211.79683,219.93503,2947.956,LEFT_SHOULDER,105234,0
3,29.526676,240.0699,3041.208,RIGHT_SHOULDER,105234,0
4,-280.77863,-9.364151,2980.806,LEFT_ELBOW,105234,0
5,160.24203,47.473373,3073.9119,RIGHT_ELBOW,105234,0
6,-334.5434,-296.72858,2840.2468,LEFT_HAND,105234,0
7,259.84454,-42.919136,2832.5403,RIGHT_HAND,105234,0
8,-72.565445,32.25445,2989.2239,TORSO,105234,0
9,-125.432236,-171.45387,2956.2612,LEFT_HIP,105234,0
10,17.440601,-159.53326,3011.4702,RIGHT_HIP,105234,0
11,-110.45561,-607.5568,2854.4812,LEFT_KNEE,105234,0
12,162.41486,-527.4447,2868.8926,RIGHT_KNEE,105234,0
13,-123.79053,-1013.06104,2875.7305,LEFT_FOOT,105234,0
14,101.896904,-934.9092,2982.0066,RIGHT_FOOT,105234,0
0,-96.20011,476.70758,3081.2603,HEAD,105234,0
1,-87.31423,232.17818,3005.9531,NECK,105234,0
2,-210.41713,221.39369,2965.5244,LEFT_SHOULDER,105234,0
3,35.78868,242.96266,3046.3818,RIGHT_SHOULDER,105234,0
4,-276.96344,5.6132507,2997.58,LEFT_ELBOW,105234,0
5,173.48503,28.393417,3067.3428,RIGHT_ELBOW,105234,0
6,-322.96628,-295.063,2844.4873,LEFT_HAND,105234,0
7,213.84868,-72.91,2818.773,RIGHT_HAND,105234,0
