joint,x,y,z,jointname,time,voiceover
0,-496.28748,408.84943,3386.642,HEAD,11227,0
1,-490.53198,128.1353,3294.0444,NECK,11227,0
2,-634.81024,126.63181,3289.3564,LEFT_SHOULDER,11227,0
3,-346.25372,129.6388,3298.7324,RIGHT_SHOULDER,11227,0
4,-660.82446,-153.51614,3310.0576,LEFT_ELBOW,11227,0
5,-309.49896,-149.32294,3319.168,RIGHT_ELBOW,11227,0
6,-664.29803,-409.70935,3191.985,LEFT_HAND,11227,0
7,-276.52762,-398.7686,3191.583,RIGHT_HAND,11227,0
8,-487.3559,-69.35489,3259.6333,TORSO,11227,0
9,-571.76776,-267.7578,3222.3762,LEFT_HIP,11227,0
10,-396.5919,-265.93234,3228.068,RIGHT_HIP,11227,0
11,-561.4159,-689.68896,3213.1462,LEFT_KNEE,11227,0
12,-399.71613,-696.9329,3208.2346,RIGHT_KNEE,11227,0
13,-524.466,-1052.0659,3165.5383,LEFT_FOOT,11227,0
14,-410.9304,-1110.9696,3232.0579,RIGHT_FOOT,11227,0
0,-494.58423,418.7,3399.4407,HEAD,11227,0
1,-490.03888,167.50096,3320.947,NECK,11227,0
2,-633.89294,168.76775,3308.9106,LEFT_SHOULDER,11227,0
3,-346.1848,166.23418,3332.9834,RIGHT_SHOULDER,11227,0
4,-654.5154,-112.08675,3325.7515,LEFT_ELBOW,11227,0
5,-316.78976,-113.860825,3349.4412,RIGHT_ELBOW,11227,0
6,-658.7152,-373.13037,3218.8555,LEFT_HAND,11227,0
7,-286.32596,-369.41022,3233.8792,RIGHT_HAND,11227,0
8,-487.83563,-27.426895,3274.0996,TORSO,11227,0
9,-577.82983,-221.54286,3219.5378,LEFT_HIP,11227,0
10,-393.43494,-223.16664,3234.9666,RIGHT_HIP,11227,0
11,-561.7649,-669.8273,3224.7942,LEFT_KNEE,11227,0
12,-396.27716,-654.335,3219.1443,RIGHT_KNEE,11227,0
13,-533.89874,-1056.194,3171.9448,LEFT_FOOT,11227,0
14,-406.08673,-1068.5298,3240.7346,RIGHT_FOOT,11227,0
0,-498.59277,425.02295,3407.8464,HEAD,11227,0
1,-492.2604,188.42973,3335.713,NECK,11227,0
2,-635.9362,188.93706,3321.6597,LEFT_SHOULDER,11227,0
3,-348.58463,187.92242,3349.766,RIGHT_SHOULDER,11227,0
4,-652.3084,-92.370316,3335.3079,LEFT_ELBOW,11227,0
5,-325.0794,-92.89877,3362.9995,RIGHT_ELBOW,11227,0
6,-656.95825,-357.3683,3238.6506,LEFT_HAND,11227,0
7,-297.03943,-353.42752,3258.4688,RIGHT_HAND,11227,0
8,-487.6513,-4.571253,3281.6235,TORSO,11227,0
9,-577.2321,-197.23965,3218.3213,LEFT_HIP,11227,0
10,-388.85226,-197.90483,3236.747,RIGHT_HIP,11227,0
11,-581.9443,-632.374,3264.0894,LEFT_KNEE,11227,0
12,-391.34467,-629.1809,3224.1235,RIGHT_KNEE,11227,0
13,-520.31433,-1038.7998,3163.16,LEFT_FOOT,11227,0
14,-399.94165,-1043.504,3243.6716,RIGHT_FOOT,11227,0
0,-496.27032,427.58798,3411.1511,HEAD,11227,0
1,-490.00464,198.03908,3342.256,NECK,11227,0
2,-633.2734,199.499,3324.5806,LEFT_SHOULDER,11227,0
3,-346.7359,196.57916,3359.9316,RIGHT_SHOULDER,11227,0
4,-646.2882,-82.09848,3335.6094,LEFT_ELBOW,11227,0
5,-327.94138,-84.70709,3370.5598,RIGHT_ELBOW,11227,0
6,-651.1775,-350.3162,3248.2966,LEFT_HAND,11227,0
