joint,x,y,z,jointname,time,voiceover
0,568.14417,523.0555,2761.6704,HEAD,113444,0
1,486.5314,285.02283,2660.7874,NECK,113444,0
2,344.13693,295.15616,2664.7983,LEFT_SHOULDER,113444,0
3,628.92584,274.8895,2656.7764,RIGHT_SHOULDER,113444,0
4,275.8162,90.133606,2663.9966,LEFT_ELBOW,113444,0
5,850.63306,256.40927,2772.9368,RIGHT_ELBOW,113444,0
6,207.56897,-155.67557,2548.8342,LEFT_HAND,113444,0
7,1188.9886,302.06757,2801.348,RIGHT_HAND,113444,0
8,473.20435,108.25354,2634.2495,TORSO,113444,0
9,367.60196,-61.94908,2610.311,LEFT_HIP,113444,0
10,552.15265,-75.08241,2605.1123,RIGHT_HIP,113444,0
11,246.61172,-434.69128,2511.5762,LEFT_KNEE,113444,0
12,624.4781,-482.35388,2549.1433,RIGHT_KNEE,113444,0
13,108.82712,-813.5625,2530.938,LEFT_FOOT,113444,0
14,694.95715,-877.37085,2584.3586,RIGHT_FOOT,113444,0
0,587.26373,516.83563,2755.082,HEAD,113444,0
1,495.79388,291.41776,2658.1487,NECK,113444,0
2,357.31677,305.59326,2659.4011,LEFT_SHOULDER,113444,0
3,634.271,277.24222,2656.8962,RIGHT_SHOULDER,113444,0
4,277.56418,84.13187,2667.8752,LEFT_ELBOW,113444,0
5,859.9946,255.17761,2770.6616,RIGHT_ELBOW,113444,0
6,197.99901,-147.5993,2557.831,LEFT_HAND,113444,0
7,1212.152,298.03812,2801.3438,RIGHT_HAND,113444,0
8,477.18878,111.81551,2633.8489,TORSO,113444,0
9,366.38406,-58.348495,2610.383,LEFT_HIP,113444,0
10,550.7833,-77.224945,2608.715,RIGHT_HIP,113444,0
11,233.48184,-429.05475,2502.357,LEFT_KNEE,113444,0
12,627.84814,-487.28687,2553.4858,RIGHT_KNEE,113444,0
13,78.18979,-792.24866,2504.4011,LEFT_FOOT,113444,0
14,694.9772,-879.05054,2585.496,RIGHT_FOOT,113444,0
0,606.6187,510.69244,2744.341,HEAD,113444,0
1,503.78226,287.19794,2662.9907,NECK,113444,0
2,359.661,302.49884,2661.4814,LEFT_SHOULDER,113444,0
3,647.90356,271.89706,2664.5,RIGHT_SHOULDER,113444,0
