joint,x,y,z,jointname,time,voiceover
0,61.920883,470.1446,3209.9092,HEAD,11207,0
1,55.99769,187.86107,3133.1868,NECK,11207,0
2,-86.73791,175.37053,3159.2043,LEFT_SHOULDER,11207,0
3,198.73328,200.35161,3107.1692,RIGHT_SHOULDER,11207,0
4,-114.56531,-64.08157,3187.0916,LEFT_ELBOW,11207,0
5,264.86734,-52.54045,3110.4067,RIGHT_ELBOW,11207,0
6,-121.20619,-297.06375,2990.4885,LEFT_HAND,11207,0
7,275.90494,-300.8266,2939.2605,RIGHT_HAND,11207,0
8,65.351845,-20.832716,3084.3145,TORSO,11207,0
9,-11.678892,-237.08589,3051.1882,LEFT_HIP,11207,0
10,161.0909,-221.96712,3019.696,RIGHT_HIP,11207,0
11,2.4566803,-616.04083,3024.2869,LEFT_KNEE,11207,0
12,159.1123,-602.5186,3002.7534,RIGHT_KNEE,11207,0
13,29.083836,-956.3788,3004.0256,LEFT_FOOT,11207,0
14,153.7642,-953.9143,2985.8406,RIGHT_FOOT,11207,0
0,62.172123,470.3285,3208.5127,HEAD,11207,0
1,54.444267,189.22542,3127.8708,NECK,11207,0
2,-87.62345,176.03975,3154.7434,LEFT_SHOULDER,11207,0
3,196.512,202.4111,3100.9983,RIGHT_SHOULDER,11207,0
4,-116.84245,-65.69394,3183.8872,LEFT_ELBOW,11207,0
5,265.47717,-55.278168,3111.739,RIGHT_ELBOW,11207,0
6,-117.13503,-294.65112,2991.5596,LEFT_HAND,11207,0
7,279.53375,-301.72595,2960.2231,RIGHT_HAND,11207,0
8,65.257034,-20.353647,3082.1995,TORSO,11207,0
9,-10.159876,-237.93591,3052.8386,LEFT_HIP,11207,0
10,162.29947,-221.92952,3020.2175,RIGHT_HIP,11207,0
11,3.2468023,-617.385,3022.641,LEFT_KNEE,11207,0
12,158.49203,-601.9135,2998.7485,RIGHT_KNEE,11207,0
13,29.247593,-964.0425,3009.7705,LEFT_FOOT,11207,0
14,152.58641,-952.63715,2983.9497,RIGHT_FOOT,11207,0
0,62.20732,470.03513,3206.7896,HEAD,11207,0
1,54.016014,187.94534,3126.075,NECK,11207,0
2,-87.54243,174.69707,3153.0103,LEFT_SHOULDER,11207,0
