joint,x,y,z,jointname,time,voiceover
0,23.20592,455.79083,3111.3132,HEAD,114330,0
1,24.98773,207.92723,3053.1553,NECK,114330,0
2,-124.67678,200.70578,3070.5237,LEFT_SHOULDER,114330,0
3,174.65224,215.1487,3035.7869,RIGHT_SHOULDER,114330,0
4,-158.3925,-36.83156,3081.0364,LEFT_ELBOW,114330,0
5,244.26572,-27.36267,3090.5552,RIGHT_ELBOW,114330,0
6,-71.66695,-341.1261,2972.3525,LEFT_HAND,114330,0
7,265.7076,-299.90018,3028.2786,RIGHT_HAND,114330,0
8,32.182575,9.31417,3032.5737,TORSO,114330,0
9,-52.122047,-193.71384,3022.6106,LEFT_HIP,114330,0
10,130.87688,-184.88396,3001.3738,RIGHT_HIP,114330,0
11,-46.559322,-604.45264,2939.2324,LEFT_KNEE,114330,0
12,158.03647,-600.68665,2989.1272,RIGHT_KNEE,114330,0
13,-57.65563,-983.4199,2857.9663,LEFT_FOOT,114330,0
14,156.5413,-989.2085,3074.5486,RIGHT_FOOT,114330,0
0,35.3965,450.31622,3127.7656,HEAD,114331,0
1,38.88237,206.58235,3069.6426,NECK,114331,0
2,-106.95392,198.88045,3080.1292,LEFT_SHOULDER,114331,0
3,184.71866,214.28424,3059.156,RIGHT_SHOULDER,114331,0
4,-145.45457,-43.778717,3093.459,LEFT_ELBOW,114331,0
5,247.54858,-39.933487,3095.4854,RIGHT_ELBOW,114331,0
6,-84.85224,-329.61517,2996.4978,LEFT_HAND,114331,0
7,266.53516,-322.60803,3012.6467,RIGHT_HAND,114331,0
8,48.428127,4.6081347,3054.0535,TORSO,114331,0
9,-31.101126,-202.0703,3044.8694,LEFT_HIP,114331,0
10,147.0489,-192.66185,3032.0593,RIGHT_HIP,114331,0
11,-44.71686,-607.252,2938.0742,LEFT_KNEE,114331,0
12,159.84602,-600.72595,3000.7112,RIGHT_KNEE,114331,0
13,-57.458935,-986.3972,2854.1953,LEFT_FOOT,114331,0
14,156.77902,-989.1674,3078.5605,RIGHT_FOOT,114331,0
0,41.177147,450.4074,3137.535,HEAD,114331,0
1,46.451828,202.25839,3076.4316,NECK,114331,0
2,-97.765625,195.68404,3086.0522,LEFT_SHOULDER,114331,0
3,190.6693,208.83276,3066.811,RIGHT_SHOULDER,114331,0
4,-130.5314,-53.63974,3088.3884,LEFT_ELBOW,114331,0
