joint,x,y,z,jointname,time,voiceover
0,-2.8588724,405.52112,3518.921,HEAD,111330,0
1,-8.709833,128.43384,3402.5398,NECK,111330,0
2,-154.58423,120.00021,3402.405,LEFT_SHOULDER,111330,0
3,137.16455,136.86745,3402.6746,RIGHT_SHOULDER,111330,0
4,-197.01718,-94.380005,3433.178,LEFT_ELBOW,111330,0
5,208.21237,-73.53085,3445.1055,RIGHT_ELBOW,111330,0
6,-245.89162,-320.91638,3288.8577,LEFT_HAND,111330,0
7,303.22937,-332.67572,3315.7969,RIGHT_HAND,111330,0
8,2.4861894,-64.90307,3382.6382,TORSO,111330,0
9,-74.89051,-263.36072,3362.6548,LEFT_HIP,111330,0
10,102.25494,-253.1192,3362.8184,RIGHT_HIP,111330,0
11,-54.497963,-685.5193,3321.979,LEFT_KNEE,111330,0
12,120.18129,-677.428,3350.2324,RIGHT_KNEE,111330,0
13,-10.8678055,-1039.7511,3291.2742,LEFT_FOOT,111330,0
14,69.886,-1057.8141,3263.2493,RIGHT_FOOT,111330,0
0,-4.188427,406.0703,3516.9314,HEAD,111330,0
1,-7.050453,128.42035,3403.635,NECK,111330,0
2,-152.72548,120.76392,3399.0127,LEFT_SHOULDER,111330,0
3,138.62459,136.07678,3408.2573,RIGHT_SHOULDER,111330,0
4,-196.64658,-93.98254,3431.923,LEFT_ELBOW,111330,0
5,207.98355,-74.05591,3447.1719,RIGHT_ELBOW,111330,0
6,-241.30164,-316.8007,3296.55,LEFT_HAND,111330,0
7,283.44113,-333.4003,3313.658,RIGHT_HAND,111330,0
8,3.6301992,-63.95886,3385.686,TORSO,111330,0
9,-75.39378,-261.0528,3364.8906,LEFT_HIP,111330,0
10,104.01549,-251.62335,3370.5835,RIGHT_HIP,111330,0
11,-59.263123,-673.4998,3330.4326,LEFT_KNEE,111330,0
12,108.21283,-657.0292,3332.5583,RIGHT_KNEE,111330,0
13,-8.30106,-1033.7786,3291.8142,LEFT_FOOT,111330,0
14,67.730934,-1061.126,3263.8433,RIGHT_FOOT,111330,0
0,-3.670266,406.68158,3519.2314,HEAD,111330,0
1,-6.8529277,130.07631,3402.7805,NECK,111330,0
2,-151.54636,122.88846,3396.086,LEFT_SHOULDER,111330,0
3,137.84048,137.26416,3409.475,RIGHT_SHOULDER,111330,0
4,-193.42409,-89.11215,3431.055,LEFT_ELBOW,111330,0
5,205.82437,-75.589005,3451.4375,RIGHT_ELBOW,111330,0
6,-258.7077,-313.41718,3282.6294,LEFT_HAND,111330,0
7,248.80585,-233.92471,3325.6016,RIGHT_HAND,111330,0
8,3.374228,-60.91646,3386.8015,TORSO,111330,0
9,-75.960556,-256.35834,3366.6787,LEFT_HIP,111330,0
10,103.16333,-247.46011,3374.9663,RIGHT_HIP,111330,0
11,-60.190468,-670.51776,3331.2922,LEFT_KNEE,111330,0
12,105.13322,-662.78937,3320.873,RIGHT_KNEE,111330,0
13,-8.200325,-1034.2313,3293.2004,LEFT_FOOT,111330,0
14,70.1561,-1060.3136,3258.4639,RIGHT_FOOT,111330,0
0,-2.8448052,405.7457,3519.769,HEAD,111330,0
1,-8.278732,131.72125,3404.6792,NECK,111330,0
2,-152.65057,124.75202,3400.6729,LEFT_SHOULDER,111330,0
3,136.09311,138.69048,3408.6855,RIGHT_SHOULDER,111330,0
4,-193.40733,-88.94872,3439.1917,LEFT_ELBOW,111330,0
5,204.86174,-70.82938,3446.0427,RIGHT_ELBOW,111330,0
6,-241.61305,-315.76526,3299.5803,LEFT_HAND,111330,0
7,276.64853,-294.8965,3336.9229,RIGHT_HAND,111330,0
8,1.191313,-55.670155,3389.3948,TORSO,111330,0
9,-79.28236,-247.40338,3371.6145,LEFT_HIP,111330,0
10,100.60508,-238.71973,3376.6062,RIGHT_HIP,111330,0
11,-60.203743,-679.2303,3330.9607,LEFT_KNEE,111330,0
12,95.41806,-656.76215,3327.5771,RIGHT_KNEE,111330,0
13,-9.9600525,-1057.0979,3319.444,LEFT_FOOT,111330,0
14,67.96645,-1048.8779,3262.0554,RIGHT_FOOT,111330,0
0,-2.9817405,406.1615,3518.8796,HEAD,111330,0
1,-7.877279,133.97841,3405.3777,NECK,111330,0
2,-151.94041,126.86224,3403.6826,LEFT_SHOULDER,111330,0
3,136.18584,141.09457,3407.0728,RIGHT_SHOULDER,111330,0
4,-192.91817,-87.81099,3443.6714,LEFT_ELBOW,111330,0
5,205.31828,-70.70776,3446.7356,RIGHT_ELBOW,111330,0
6,-239.4628,-328.80972,3309.6128,LEFT_HAND,111330,0
7,285.12112,-314.32678,3320.161,RIGHT_HAND,111330,0
8,1.3597331,-49.45841,3390.425,TORSO,111330,0
9,-79.8366,-237.36227,3374.4084,LEFT_HIP,111330,0
10,101.0301,-228.42816,3376.5364,RIGHT_HIP,111330,0
11,-46.117527,-669.8664,3353.8154,LEFT_KNEE,111330,0
12,92.79501,-647.63635,3330.3452,RIGHT_KNEE,111330,0
13,-8.211403,-1063.2104,3301.0562,LEFT_FOOT,111330,0
14,65.404884,-1035.5189,3266.3748,RIGHT_FOOT,111330,0
0,-2.843268,405.22778,3520.9143,HEAD,111330,0
1,-7.014043,134.04185,3406.4966,NECK,111330,0
2,-151.04141,127.14288,3402.2588,LEFT_SHOULDER,111330,0
3,137.01334,140.94084,3410.7344,RIGHT_SHOULDER,111330,0
4,-192.96086,-88.13054,3442.6409,LEFT_ELBOW,111330,0
5,211.95059,-76.45961,3463.1077,RIGHT_ELBOW,111330,0
6,-243.43686,-332.30893,3299.7583,LEFT_HAND,111330,0
7,275.87665,-330.7006,3331.8833,RIGHT_HAND,111330,0
8,2.1242812,-48.67042,3393.367,TORSO,111330,0
9,-84.66026,-235.97745,3377.415,LEFT_HIP,111330,0
10,107.18547,-226.78795,3383.0596,RIGHT_HIP,111330,0
11,-57.836044,-665.4083,3388.462,LEFT_KNEE,111330,0
12,86.95972,-664.1479,3322.3093,RIGHT_KNEE,111330,0
13,-7.7186775,-1069.5448,3298.7886,LEFT_FOOT,111330,0
14,71.48041,-1045.5374,3273.7783,RIGHT_FOOT,111330,0
0,-3.6701148,404.84686,3521.581,HEAD,111330,0
1,-7.154409,137.46904,3411.132,NECK,111330,0
2,-151.73161,131.19196,3408.4395,LEFT_SHOULDER,111330,0
3,137.4228,143.74612,3413.8247,RIGHT_SHOULDER,111330,0
4,-191.67001,-88.40788,3442.75,LEFT_ELBOW,111330,0
5,207.92857,-69.88133,3461.135,RIGHT_ELBOW,111330,0
6,-240.38582,-330.0035,3312.2727,LEFT_HAND,111330,0
7,271.94116,-328.49182,3328.7742,RIGHT_HAND,111330,0
8,1.0818335,-45.25522,3394.8667,TORSO,111330,0
9,-86.81327,-232.1532,3376.811,LEFT_HIP,111330,0
10,105.449425,-223.80576,3380.3916,RIGHT_HIP,111330,0
11,-53.624653,-663.8895,3386.6423,LEFT_KNEE,111330,0
12,85.06529,-662.801,3324.7505,RIGHT_KNEE,111330,0
13,-11.038799,-1066.8076,3309.9763,LEFT_FOOT,111330,0
14,71.055244,-1038.9773,3269.772,RIGHT_FOOT,111330,0
0,-3.4929488,405.6324,3521.633,HEAD,111330,0
1,-7.344098,135.11559,3423.5889,NECK,111330,0
2,-152.25093,127.05887,3429.9514,LEFT_SHOULDER,111330,0
3,137.56273,143.17232,3417.2263,RIGHT_SHOULDER,111330,0
4,-192.20033,-89.241425,3434.3892,LEFT_ELBOW,111330,0
5,206.77194,-70.112564,3465.1326,RIGHT_ELBOW,111330,0
6,-242.22731,-333.1811,3290.9639,LEFT_HAND,111330,0
7,274.37634,-322.62885,3354.1287,RIGHT_HAND,111330,0
8,1.8546164,-49.28439,3399.5886,TORSO,111330,0
9,-82.56141,-238.88928,3379.6987,LEFT_HIP,111330,0
10,104.66807,-228.47945,3371.478,RIGHT_HIP,111330,0
11,-55.19787,-669.29004,3386.5413,LEFT_KNEE,111330,0
12,105.797386,-664.37305,3334.1187,RIGHT_KNEE,111330,0
13,-8.268311,-1062.3407,3310.543,LEFT_FOOT,111330,0
14,71.888435,-1054.1746,3270.9797,RIGHT_FOOT,111330,0
0,-3.4166665,406.37906,3520.7676,HEAD,111330,0
1,-5.695555,136.94852,3422.3972,NECK,111330,0
2,-150.37274,129.87509,3428.9824,LEFT_SHOULDER,111330,0
3,138.98163,144.02194,3415.812,RIGHT_SHOULDER,111330,0
4,-191.86026,-91.459946,3434.9482,LEFT_ELBOW,111330,0
5,205.98682,-68.96013,3463.8413,RIGHT_ELBOW,111330,0
6,-242.43784,-326.27216,3292.4797,LEFT_HAND,111330,0
7,269.2099,-280.544,3359.3499,RIGHT_HAND,111330,0
8,2.2651024,-48.22279,3398.393,TORSO,111330,0
9,-84.57148,-238.02884,3378.7036,LEFT_HIP,111330,0
10,105.023,-228.75937,3370.0742,RIGHT_HIP,111330,0
11,-56.314228,-671.26025,3384.3967,LEFT_KNEE,111330,0
