joint,x,y,z,jointname,time,voiceover
0,-14.434374,381.14496,3652.224,HEAD,1100,0
1,-11.766969,172.11429,3593.8516,NECK,1100,0
2,-161.69637,175.56267,3577.3103,LEFT_SHOULDER,1100,0
3,138.16243,168.66591,3610.3928,RIGHT_SHOULDER,1100,0
4,-230.05951,-148.00768,3523.4639,LEFT_ELBOW,1100,0
5,224.4948,-149.92332,3558.1575,RIGHT_ELBOW,1100,0
6,-298.5067,-436.77838,3427.0806,LEFT_HAND,1100,0
7,277.74133,-391.02008,3367.116,RIGHT_HAND,1100,0
8,-9.957857,-33.19786,3534.6514,TORSO,1100,0
9,-106.137474,-236.25626,3464.6404,LEFT_HIP,1100,0
10,89.83999,-240.76376,3486.262,RIGHT_HIP,1100,0
11,-144.2825,-660.4468,3504.6924,LEFT_KNEE,1100,0
12,144.24496,-656.8031,3401.9565,RIGHT_KNEE,1100,0
13,-178.54495,-1034.5479,3368.4795,LEFT_FOOT,1100,0
14,277.13315,-1039.0259,3329.2583,RIGHT_FOOT,1100,0
0,-34.025764,384.68265,3652.6902,HEAD,1100,0
1,-31.924847,139.06476,3577.4136,NECK,1100,0
2,-181.46202,139.51263,3556.9236,LEFT_SHOULDER,1100,0
3,117.61232,138.6169,3597.9036,RIGHT_SHOULDER,1100,0
4,-255.06227,-144.97925,3517.2646,LEFT_ELBOW,1100,0
5,210.20404,-156.01015,3566.155,RIGHT_ELBOW,1100,0
6,-306.29684,-446.8422,3455.6409,LEFT_HAND,1100,0
7,261.68018,-392.1244,3367.2358,RIGHT_HAND,1100,0
8,-24.999447,-67.44004,3522.3574,TORSO,1100,0
9,-115.960144,-273.65167,3453.8887,LEFT_HIP,1100,0
10,79.81204,-274.23804,3480.7139,RIGHT_HIP,1100,0
11,-146.93129,-675.0929,3516.602,LEFT_KNEE,1100,0
12,134.93526,-675.50903,3400.3816,RIGHT_KNEE,1100,0
13,-175.21852,-1063.907,3373.3652,LEFT_FOOT,1100,0
14,278.93213,-1074.7236,3326.4194,RIGHT_FOOT,1100,0
0,-48.118748,380.26782,3653.3752,HEAD,1100,0
1,-43.017254,153.2011,3587.739,NECK,1100,0
