joint,x,y,z,jointname,time,voiceover
0,-8.376432,490.8262,3083.0815,HEAD,113312,0
1,-27.28099,206.91318,2991.4673,NECK,113312,0
2,-171.19664,197.39323,3008.7412,LEFT_SHOULDER,113312,0
3,116.63466,216.43314,2974.1934,RIGHT_SHOULDER,113312,0
4,-229.73476,-31.236862,2980.5952,LEFT_ELBOW,113312,0
5,152.9162,-19.694946,2960.8328,RIGHT_ELBOW,113312,0
6,-191.08603,-212.8412,2772.1345,LEFT_HAND,113312,0
7,93.46523,-238.9296,2782.3757,RIGHT_HAND,113312,0
8,-20.184134,11.922506,2943.1316,TORSO,113312,0
9,-92.26852,-188.30597,2904.3,LEFT_HIP,113312,0
10,66.093956,-177.83037,2885.2917,RIGHT_HIP,113312,0
11,-98.369316,-555.81775,2896.4536,LEFT_KNEE,113312,0
12,130.29648,-452.88287,2800.63,RIGHT_KNEE,113312,0
13,-75.80837,-913.3612,2892.0269,LEFT_FOOT,113312,0
14,148.70427,-772.84326,2799.1807,RIGHT_FOOT,113312,0
0,-30.149803,486.05017,3082.6736,HEAD,113312,0
1,-46.44129,214.09087,2988.1892,NECK,113312,0
2,-193.06812,200.70854,3001.6702,LEFT_SHOULDER,113312,0
3,100.18555,227.4732,2974.7083,RIGHT_SHOULDER,113312,0
4,-240.12038,-38.103912,2974.9407,LEFT_ELBOW,113312,0
5,135.6232,-10.54155,2961.4998,RIGHT_ELBOW,113312,0
6,-198.78125,-217.38742,2793.3696,LEFT_HAND,113312,0
7,72.74573,-225.62247,2795.5537,RIGHT_HAND,113312,0
8,-32.633488,16.574268,2942.299,TORSO,113312,0
9,-101.77985,-188.5134,2904.0356,LEFT_HIP,113312,0
10,64.12847,-173.37128,2888.7822,RIGHT_HIP,113312,0
11,-109.44825,-546.9988,2900.0005,LEFT_KNEE,113312,0
12,128.33698,-452.84308,2805.9448,RIGHT_KNEE,113312,0
13,-76.15604,-912.70215,2885.09,LEFT_FOOT,113312,0
14,148.41194,-773.0873,2806.4336,RIGHT_FOOT,113312,0
0,-40.93495,484.28787,3083.151,HEAD,113312,0
1,-57.50393,218.7073,2990.5464,NECK,113312,0
2,-204.308,203.48022,3004.0002,LEFT_SHOULDER,113312,0
3,89.30015,233.93439,2977.0925,RIGHT_SHOULDER,113312,0
4,-248.23666,-40.68387,2974.1748,LEFT_ELBOW,113312,0
5,126.4216,-4.954178,2965.0515,RIGHT_ELBOW,113312,0
6,-213.27222,-220.35318,2786.876,LEFT_HAND,113312,0
7,60.863564,-243.26358,2799.6804,RIGHT_HAND,113312,0
8,-41.1554,20.443829,2944.5413,TORSO,113312,0
9,-111.98905,-186.86252,2906.526,LEFT_HIP,113312,0
10,62.37532,-168.77678,2890.5464,RIGHT_HIP,113312,0
11,-110.229454,-548.3698,2900.1868,LEFT_KNEE,113312,0
12,123.43857,-450.02063,2805.4705,RIGHT_KNEE,113312,0
13,-76.53555,-913.08765,2884.1038,LEFT_FOOT,113312,0
14,148.22287,-775.4356,2798.7886,RIGHT_FOOT,113312,0
0,-50.71781,489.26227,3081.9297,HEAD,113312,0
1,-71.21589,207.8726,2975.4053,NECK,113312,0
2,-221.41264,190.58804,2978.6887,LEFT_SHOULDER,113312,0
3,78.98086,225.15717,2972.1218,RIGHT_SHOULDER,113312,0
4,-253.80115,-25.173706,2984.7117,LEFT_ELBOW,113312,0
5,115.59212,-15.583893,2958.0574,RIGHT_ELBOW,113312,0
6,-216.21404,-192.07884,2785.3643,LEFT_HAND,113312,0
7,43.049988,-244.20453,2802.7375,RIGHT_HAND,113312,0
8,-49.9172,15.582886,2937.4404,TORSO,113312,0
9,-113.786285,-186.5079,2901.3374,LEFT_HIP,113312,0
10,56.54927,-166.90576,2897.6138,RIGHT_HIP,113312,0
11,-112.289566,-547.87866,2895.6448,LEFT_KNEE,113312,0
12,117.23857,-450.45483,2808.8699,RIGHT_KNEE,113312,0
13,-76.56744,-912.4801,2880.4915,LEFT_FOOT,113312,0
14,150.99869,-779.68335,2801.2341,RIGHT_FOOT,113312,0
0,-59.179413,491.23148,3079.0034,HEAD,113312,0
1,-72.1891,221.73566,2967.7249,NECK,113312,0
2,-214.49577,207.46774,2963.7341,LEFT_SHOULDER,113312,0
3,70.11757,236.00359,2971.7156,RIGHT_SHOULDER,113312,0
4,-256.10577,-26.77034,2987.584,LEFT_ELBOW,113312,0
5,108.25893,-7.9636993,2952.7185,RIGHT_ELBOW,113312,0
6,-208.99837,-214.11205,2799.1948,LEFT_HAND,113312,0
7,75.97637,-247.47968,2837.1187,RIGHT_HAND,113312,0
8,-51.34197,23.25306,2933.9604,TORSO,113312,0
9,-114.408325,-183.64287,2897.8428,LEFT_HIP,113312,0
10,53.418655,-166.81622,2902.5493,RIGHT_HIP,113312,0
11,-117.45956,-542.44104,2888.7466,LEFT_KNEE,113312,0
12,99.16846,-475.33008,2800.659,RIGHT_KNEE,113312,0
13,-77.55171,-909.0165,2874.2114,LEFT_FOOT,113312,0
14,152.49883,-791.9501,2793.8818,RIGHT_FOOT,113312,0
0,-65.11283,492.0083,3076.3855,HEAD,113312,0
1,-81.38721,220.53561,2975.4998,NECK,113312,0
2,-229.75278,202.81561,2980.5486,LEFT_SHOULDER,113312,0
3,66.97836,238.25562,2970.451,RIGHT_SHOULDER,113312,0
4,-263.12903,-30.897888,2989.5085,LEFT_ELBOW,113312,0
5,104.85065,-4.159683,2958.4033,RIGHT_ELBOW,113312,0
6,-216.32547,-214.01146,2782.8489,LEFT_HAND,113312,0
7,60.058975,-226.4354,2830.6868,RIGHT_HAND,113312,0
8,-59.14262,23.882252,2938.9832,TORSO,113312,0
9,-121.229095,-182.84317,2905.3364,LEFT_HIP,113312,0
10,47.43303,-162.69907,2899.5967,RIGHT_HIP,113312,0
11,-120.95947,-542.80237,2892.9436,LEFT_KNEE,113312,0
12,90.83331,-488.012,2794.6443,RIGHT_KNEE,113312,0
13,-78.55232,-906.36926,2870.1003,LEFT_FOOT,113312,0
14,136.03746,-823.46094,2792.9844,RIGHT_FOOT,113312,0
0,-70.13262,492.8219,3076.562,HEAD,113312,0
1,-89.40909,222.43163,2970.1304,NECK,113312,0
2,-235.4377,202.56378,2979.8037,LEFT_SHOULDER,113312,0
3,56.619522,242.29947,2960.457,RIGHT_SHOULDER,113312,0
4,-271.05695,-13.065933,2970.5798,LEFT_ELBOW,113312,0
5,98.267204,6.648987,2965.956,RIGHT_ELBOW,113312,0
6,-223.87744,-228.62802,2782.8596,LEFT_HAND,113312,0
7,35.844913,-203.62015,2794.8315,RIGHT_HAND,113312,0
8,-64.90585,25.980822,2936.5447,TORSO,113312,0
9,-124.417435,-181.90057,2908.5244,LEFT_HIP,113312,0
10,43.612198,-159.0394,2897.3936,RIGHT_HIP,113312,0
11,-123.25662,-543.62695,2897.488,LEFT_KNEE,113312,0
12,79.25911,-501.1289,2797.7876,RIGHT_KNEE,113312,0
13,-78.79105,-909.4696,2873.9248,LEFT_FOOT,113312,0
14,111.908295,-863.44653,2787.5442,RIGHT_FOOT,113312,0
0,-81.73051,494.30988,3074.8364,HEAD,113312,0
1,-88.07018,225.71852,2966.3208,NECK,113312,0
2,-231.10258,208.82121,2974.7803,LEFT_SHOULDER,113312,0
3,54.962227,242.61581,2957.8613,RIGHT_SHOULDER,113312,0
4,-273.32965,-2.3581238,2974.8367,LEFT_ELBOW,113312,0
5,95.39942,5.9128723,2962.8276,RIGHT_ELBOW,113312,0
6,-249.61118,-212.4688,2796.6895,LEFT_HAND,113312,0
7,63.59825,-233.47383,2832.08,RIGHT_HAND,113312,0
8,-65.89578,19.610088,2929.555,TORSO,113312,0
9,-128.91273,-196.56252,2897.8276,LEFT_HIP,113312,0
10,41.469955,-176.43416,2887.7505,RIGHT_HIP,113312,0
11,-125.98572,-560.78284,2888.9412,LEFT_KNEE,113312,0
12,57.93873,-530.03375,2803.1567,RIGHT_KNEE,113312,0
13,-80.77223,-929.05206,2868.2354,LEFT_FOOT,113312,0
