joint,x,y,z,jointname,time,voiceover
0,142.37056,467.60974,3047.1392,HEAD,112728,0
1,119.757645,230.83679,2948.0894,NECK,112728,0
2,-9.684431,224.08443,2983.516,LEFT_SHOULDER,112728,0
3,249.19972,237.58916,2912.6626,RIGHT_SHOULDER,112728,0
4,-74.63557,-48.018906,2972.1633,LEFT_ELBOW,112728,0
5,303.87903,-12.51918,2912.2136,RIGHT_ELBOW,112728,0
6,148.13135,-155.91913,3103.0076,LEFT_HAND,112728,0
7,169.48616,-189.95526,2716.3877,RIGHT_HAND,112728,0
8,119.203445,39.26092,2909.5498,TORSO,112728,0
9,38.00825,-156.52159,2893.0808,LEFT_HIP,112728,0
10,199.29024,-148.10829,2848.9397,RIGHT_HIP,112728,0
11,12.390963,-584.0483,2902.026,LEFT_KNEE,112728,0
12,243.94878,-546.6767,2813.6887,RIGHT_KNEE,112728,0
13,18.6891,-972.4226,2983.6924,LEFT_FOOT,112728,0
14,249.44624,-925.10376,2772.24,RIGHT_FOOT,112728,0
0,139.35106,470.3463,3045.8257,HEAD,112728,0
1,118.26846,232.1734,2948.597,NECK,112728,0
2,-13.014874,224.45805,2983.5225,LEFT_SHOULDER,112728,0
3,249.5518,239.88873,2913.6714,RIGHT_SHOULDER,112728,0
4,-78.66997,-46.943375,2969.182,LEFT_ELBOW,112728,0
5,303.1108,-9.708588,2915.9521,RIGHT_ELBOW,112728,0
6,157.70401,-176.86249,3042.8252,LEFT_HAND,112728,0
7,227.64493,-137.0467,2720.3557,RIGHT_HAND,112728,0
8,118.48003,47.50393,2908.5972,TORSO,112728,0
9,38.723812,-141.86513,2889.8713,LEFT_HIP,112728,0
10,198.65936,-132.46594,2847.3235,RIGHT_HIP,112728,0
11,10.723333,-586.2558,2900.7263,LEFT_KNEE,112728,0
12,245.33382,-535.96875,2815.3057,RIGHT_KNEE,112728,0
13,16.810202,-982.4536,2983.3274,LEFT_FOOT,112728,0
14,251.09866,-914.98425,2775.3135,RIGHT_FOOT,112728,0
0,140.28772,470.23953,3044.7524,HEAD,112728,0
1,115.87748,234.9482,2947.9956,NECK,112728,0
2,-18.688332,226.13103,2981.4067,LEFT_SHOULDER,112728,0
3,250.44328,243.76535,2914.5845,RIGHT_SHOULDER,112728,0
4,-67.45621,5.7095795,2976.039,LEFT_ELBOW,112728,0
5,303.49176,-4.989853,2921.5388,RIGHT_ELBOW,112728,0
6,-31.269981,-17.742071,2970.2793,LEFT_HAND,112728,0
7,174.7834,-188.79771,2725.0054,RIGHT_HAND,112728,0
8,117.887634,51.096294,2907.5735,TORSO,112728,0
9,37.86225,-138.13083,2887.5198,LEFT_HIP,112728,0
10,201.93333,-127.38039,2846.783,RIGHT_HIP,112728,0
11,9.824852,-591.1376,2899.805,LEFT_KNEE,112728,0
12,245.81305,-527.86066,2814.17,RIGHT_KNEE,112728,0
13,15.998554,-988.7157,2982.5881,LEFT_FOOT,112728,0
14,252.20088,-909.05975,2775.3003,RIGHT_FOOT,112728,0
0,130.65195,467.2763,3042.0776,HEAD,112728,0
1,112.19247,233.13858,2951.1558,NECK,112728,0
2,-27.420645,222.21638,2987.0059,LEFT_SHOULDER,112728,0
3,251.80559,244.06076,2915.3057,RIGHT_SHOULDER,112728,0
4,-71.51068,2.2077942,2977.089,LEFT_ELBOW,112728,0
5,289.4743,4.631485,2898.2166,RIGHT_ELBOW,112728,0
6,-1.950592,19.594032,2919.109,LEFT_HAND,112728,0
7,212.51158,-122.67699,2733.1384,RIGHT_HAND,112728,0
8,116.159515,46.725212,2909.8118,TORSO,112728,0
9,38.20335,-146.09715,2889.5042,LEFT_HIP,112728,0
10,202.04977,-133.27914,2847.4314,RIGHT_HIP,112728,0
11,12.979019,-581.7325,2898.6572,LEFT_KNEE,112728,0
12,243.58202,-533.27075,2814.494,RIGHT_KNEE,112728,0
13,17.204203,-980.1948,2984.9036,LEFT_FOOT,112728,0
14,250.90984,-915.03546,2775.8948,RIGHT_FOOT,112728,0
0,131.59167,470.02213,3042.5024,HEAD,112728,0
1,113.71521,237.39313,2951.008,NECK,112728,0
2,-25.574705,227.13766,2986.3638,LEFT_SHOULDER,112728,0
3,253.00514,247.64859,2915.6523,RIGHT_SHOULDER,112728,0
4,-73.31874,1.8502808,2976.9707,LEFT_ELBOW,112728,0
5,291.435,28.876282,2916.9766,RIGHT_ELBOW,112728,0
6,-73.641655,-127.42914,2751.5156,LEFT_HAND,112728,0
7,188.26746,-198.99333,2736.0706,RIGHT_HAND,112728,0
8,117.086815,49.532776,2909.7993,TORSO,112728,0
9,38.08815,-144.39223,2889.4985,LEFT_HIP,112728,0
10,202.82869,-132.26292,2847.6826,RIGHT_HIP,112728,0
11,13.974121,-576.6734,2898.3384,LEFT_KNEE,112728,0
12,241.75052,-536.487,2814.5242,RIGHT_KNEE,112728,0
13,19.862978,-976.5638,2986.368,LEFT_FOOT,112728,0
14,249.92496,-919.9138,2775.967,RIGHT_FOOT,112728,0
0,125.71463,471.1673,3042.256,HEAD,112729,0
1,116.56718,238.1708,2951.2725,NECK,112729,0
2,-23.95849,228.6327,2983.2737,LEFT_SHOULDER,112729,0
3,257.09283,247.70891,2919.2712,RIGHT_SHOULDER,112729,0
4,-74.41063,2.8043213,2980.4346,LEFT_ELBOW,112729,0
5,297.76718,22.564362,2918.2402,RIGHT_ELBOW,112729,0
6,-61.863716,-139.30809,2761.7578,LEFT_HAND,112729,0
7,189.19296,-179.82018,2742.1982,RIGHT_HAND,112729,0
8,119.56668,44.168575,2906.6208,TORSO,112729,0
9,41.545666,-155.33287,2880.4197,LEFT_HIP,112729,0
10,203.58672,-144.33443,2843.5188,RIGHT_HIP,112729,0
11,15.7901,-567.275,2901.9207,LEFT_KNEE,112729,0
12,239.50377,-546.16046,2807.6301,RIGHT_KNEE,112729,0
13,20.217348,-966.2146,2991.6038,LEFT_FOOT,112729,0
14,248.43842,-930.8684,2770.082,RIGHT_FOOT,112729,0
0,122.20377,473.0955,3041.7063,HEAD,112729,0
1,117.91147,239.3899,2952.5786,NECK,112729,0
2,-22.969175,230.03555,2982.9692,LEFT_SHOULDER,112729,0
3,258.7921,248.74425,2922.188,RIGHT_SHOULDER,112729,0
4,-65.47987,2.1272125,3001.6775,LEFT_ELBOW,112729,0
5,313.38892,25.091003,2919.509,RIGHT_ELBOW,112729,0
