joint,x,y,z,jointname,time
0,72.46146,668.33075,2289.7605,HEAD,16105
1,56.81827,453.85284,2172.8308,NECK,16105
2,-73.78628,452.12836,2193.8857,LEFT_SHOULDER,16105
3,187.42282,455.5774,2151.776,RIGHT_SHOULDER,16105
4,-160.62042,270.26755,2254.146,LEFT_ELBOW,16105
5,236.6862,261.17368,2171.3179,RIGHT_ELBOW,16105
6,-247.92879,30.651672,2100.0603,LEFT_HAND,16105
7,340.52655,53.20439,2032.3988,RIGHT_HAND,16105
8,50.82273,246.8174,2118.6826,TORSO,16105
9,-56.299168,38.446655,2080.8372,LEFT_HIP,16105
10,145.95355,41.117218,2048.2317,RIGHT_HIP,16105
11,-39.262215,-315.6267,1893.3888,LEFT_KNEE,16105
12,146.3792,-337.3853,1989.9149,RIGHT_KNEE,16105
13,-37.601643,-599.42834,1767.0977,LEFT_FOOT,16105
14,122.37521,-674.1771,2015.6133,RIGHT_FOOT,16105
0,79.87504,667.75867,2298.127,HEAD,16106
1,72.448715,444.01917,2204.321,NECK,16106
2,-68.82915,447.4474,2221.263,LEFT_SHOULDER,16106
3,213.72658,440.5909,2187.3792,RIGHT_SHOULDER,16106
4,-148.76761,269.87723,2258.8623,LEFT_ELBOW,16106
5,243.65651,263.85477,2180.5005,RIGHT_ELBOW,16106
6,-239.97603,29.787033,2102.9382,LEFT_HAND,16106
7,352.99506,54.53946,2035.7365,RIGHT_HAND,16106
8,59.661118,240.28058,2138.9124,TORSO,16106
9,-56.04906,39.03952,2085.846,LEFT_HIP,16106
10,149.79611,34.044495,2061.1614,RIGHT_HIP,16106
11,-40.99555,-313.06503,1887.4314,LEFT_KNEE,16106
12,149.0581,-338.29648,1995.1298,RIGHT_KNEE,16106
13,-39.566093,-597.6475,1764.1385,LEFT_FOOT,16106
14,122.20558,-678.52,2040.628,RIGHT_FOOT,16106
0,85.366135,663.9165,2304.1648,HEAD,16106
1,90.35686,441.55685,2240.3767,NECK,16106
2,-52.82242,447.68176,2262.7595,LEFT_SHOULDER,16106
3,233.53613,435.43195,2217.994,RIGHT_SHOULDER,16106
4,-140.33554,260.31628,2244.392,LEFT_ELBOW,16106
5,260.0741,266.00757,2205.235,RIGHT_ELBOW,16106
6,-236.98903,23.92868,2092.0244,LEFT_HAND,16106
7,362.9149,56.193497,2042.7997,RIGHT_HAND,16106
8,69.099686,239.25307,2159.7568,TORSO,16106
9,-54.17907,41.31357,2095.0857,LEFT_HIP,16106
10,149.8641,32.58499,2063.1882,RIGHT_HIP,16106
11,-39.88415,-305.1165,1900.2109,LEFT_KNEE,16106
12,148.67783,-342.08743,1988.9857,RIGHT_KNEE,16106
13,-36.39819,-599.4789,1763.9169,LEFT_FOOT,16106
14,148.02397,-687.72284,2044.3015,RIGHT_FOOT,16106
0,88.13329,661.31494,2306.0693,HEAD,16106
1,90.088715,430.36328,2248.8413,NECK,16106
2,-57.58522,435.6256,2271.9321,LEFT_SHOULDER,16106
3,237.76266,425.10098,2225.7505,RIGHT_SHOULDER,16106
4,-130.41779,249.2276,2225.4187,LEFT_ELBOW,16106
5,270.47156,255.23505,2218.9414,RIGHT_ELBOW,16106
6,-213.45651,37.12445,2094.4624,LEFT_HAND,16106
7,370.79803,44.079834,2057.8416,RIGHT_HAND,16106
8,69.84464,232.77324,2164.403,TORSO,16106
9,-50.825592,38.76184,2095.6675,LEFT_HIP,16106
10,150.02673,31.604523,2064.2617,RIGHT_HIP,16106
11,-39.587093,-309.86508,1910.891,LEFT_KNEE,16106
12,147.59123,-345.49637,1985.8376,RIGHT_KNEE,16106
13,-36.036823,-596.9408,1771.351,LEFT_FOOT,16106
14,126.11419,-696.074,2071.3564,RIGHT_FOOT,16106
0,104.02428,656.844,2333.9314,HEAD,16106
1,91.68777,424.5395,2247.7468,NECK,16106
2,-54.047173,429.88794,2269.264,LEFT_SHOULDER,16106
3,237.4227,419.19104,2226.2297,RIGHT_SHOULDER,16106
4,-119.01901,237.34496,2236.1436,LEFT_ELBOW,16106
5,271.9271,246.55287,2219.8193,RIGHT_ELBOW,16106
6,-194.71008,40.460922,2093.7708,LEFT_HAND,16106
7,378.02783,43.539078,2062.2664,RIGHT_HAND,16106
8,72.355194,228.31372,2165.5825,TORSO,16106
9,-45.98069,35.721375,2098.0356,LEFT_HIP,16106
10,152.02594,28.454529,2068.8008,RIGHT_HIP,16106
11,-39.358627,-308.93225,1912.6938,LEFT_KNEE,16106
12,130.49559,-362.97675,1999.6891,RIGHT_KNEE,16106
13,-35.80085,-594.54895,1776.525,LEFT_FOOT,16106
14,119.90204,-699.42676,2072.9917,RIGHT_FOOT,16106
0,109.0662,653.25214,2345.94,HEAD,16106
1,92.64963,418.6704,2237.453,NECK,16106
2,-48.303513,422.2343,2258.6992,LEFT_SHOULDER,16106
3,233.60277,415.1065,2216.2065,RIGHT_SHOULDER,16106
4,-122.03165,232.64789,2267.5693,LEFT_ELBOW,16106
5,277.2016,237.28757,2222.7224,RIGHT_ELBOW,16106
6,-193.88696,39.46718,2099.4988,LEFT_HAND,16106
7,391.92734,24.166702,2057.2092,RIGHT_HAND,16106
8,76.28093,219.90399,2162.2002,TORSO,16106
9,-34.81115,23.532578,2101.2253,LEFT_HIP,16106
10,154.6356,18.742538,2072.6697,RIGHT_HIP,16106
11,-39.930523,-303.03076,1919.8823,LEFT_KNEE,16106
12,142.50563,-373.1048,2011.2435,RIGHT_KNEE,16106
13,-53.152428,-627.277,1776.8884,LEFT_FOOT,16106
14,115.54572,-708.98975,2079.993,RIGHT_FOOT,16106
0,111.293564,650.704,2355.8652,HEAD,16106
1,101.12547,430.3403,2237.9233,NECK,16106
2,-34.62265,435.61414,2255.3926,LEFT_SHOULDER,16106
3,236.8736,425.06647,2220.454,RIGHT_SHOULDER,16106
4,-118.41753,223.12683,2262.1384,LEFT_ELBOW,16106
5,283.08752,243.71419,2229.8018,RIGHT_ELBOW,16106
6,-178.64392,40.236282,2092.554,LEFT_HAND,16106
7,401.076,36.094116,2066.4917,RIGHT_HAND,16106
8,83.785576,221.18423,2166.3223,TORSO,16106
9,-29.818848,15.768051,2107.1094,LEFT_HIP,16106
10,162.7102,8.288284,2082.333,RIGHT_HIP,16106
11,-47.821293,-328.68677,1959.1975,LEFT_KNEE,16106
12,152.75122,-374.54865,2036.0447,RIGHT_KNEE,16106
13,-83.399734,-608.7429,1810.1516,LEFT_FOOT,16106
14,114.448044,-713.4887,2088.0525,RIGHT_FOOT,16106
0,114.06664,648.63336,2362.657,HEAD,16106
1,100.59056,427.75308,2236.372,NECK,16106
2,-36.274067,431.0359,2255.073,LEFT_SHOULDER,16106
3,237.45518,424.47028,2217.6711,RIGHT_SHOULDER,16106
4,-113.75227,227.46632,2266.9744,LEFT_ELBOW,16106
5,284.4411,240.64355,2229.6443,RIGHT_ELBOW,16106
6,-176.98386,43.639587,2100.1882,LEFT_HAND,16106
7,406.19827,35.843765,2071.952,RIGHT_HAND,16106
8,86.598236,218.17206,2170.7576,TORSO,16106
9,-22.163532,10.864151,2118.092,LEFT_HIP,16106
10,167.37535,6.317917,2092.194,RIGHT_HIP,16106
11,-52.969887,-337.32928,1966.8169,LEFT_KNEE,16106
12,159.9227,-369.84192,2052.468,RIGHT_KNEE,16106
13,-92.70156,-582.0615,1797.0453,LEFT_FOOT,16106
14,113.15208,-716.37695,2099.2056,RIGHT_FOOT,16106
0,117.45975,646.71277,2365.9604,HEAD,16106
1,110.20265,426.32346,2250.3767,NECK,16106
2,-37.143993,432.54526,2266.8289,LEFT_SHOULDER,16106
3,257.54932,420.10165,2233.9246,RIGHT_SHOULDER,16106
4,-109.38388,229.07922,2272.796,LEFT_ELBOW,16106
5,291.57404,239.23979,2231.5806,RIGHT_ELBOW,16106
6,-183.14197,46.395203,2103.7034,LEFT_HAND,16106
7,416.74622,28.955902,2081.992,RIGHT_HAND,16106
8,93.99069,218.44012,2183.797,TORSO,16106
9,-16.212116,14.525604,2127.7122,LEFT_HIP,16106
10,171.76958,6.587982,2106.723,RIGHT_HIP,16106
11,-62.1479,-309.246,1973.6055,LEFT_KNEE,16106
12,150.56187,-353.11563,2038.3706,RIGHT_KNEE,16106
13,-122.03858,-567.3351,1794.9509,LEFT_FOOT,16106
14,120.41077,-679.46155,2092.0496,RIGHT_FOOT,16106
0,120.66441,647.1085,2366.5198,HEAD,16106
1,106.77291,426.19064,2247.7346,NECK,16106
