joint,x,y,z,jointname,time
0,-178.5241,567.19507,822.4203,HEAD,225513
1,-249.93323,379.32507,905.94507,NECK,225513
2,-293.9633,380.3141,887.1627,LEFT_SHOULDER,225513
3,-205.90315,378.33606,924.7274,RIGHT_SHOULDER,225513
4,-343.07617,133.93681,828.31433,LEFT_ELBOW,225513
5,21.78598,407.2943,1036.7821,RIGHT_ELBOW,225513
6,-386.9684,148.00963,863.8134,LEFT_HAND,225513
7,-8.480482,631.1543,917.5855,RIGHT_HAND,225513
8,-274.7751,273.21933,958.5929,TORSO,225513
9,-402.7871,169.431,967.2304,LEFT_HIP,225513
10,-196.44678,164.79617,1055.251,RIGHT_HIP,225513
11,-410.98288,2.3894348,700.21533,LEFT_KNEE,225513
12,-319.68896,-194.2031,962.90814,RIGHT_KNEE,225513
13,-445.03183,-380.3603,1053.2781,LEFT_FOOT,225513
14,-356.88138,-564.28986,1015.21857,RIGHT_FOOT,225513
0,-178.5241,567.19507,822.4203,HEAD,225513
1,-249.93323,379.32507,905.94507,NECK,225513
2,-293.9633,380.3141,887.1627,LEFT_SHOULDER,225513
3,-205.90315,378.33606,924.7274,RIGHT_SHOULDER,225513
4,-343.07617,133.93681,828.31433,LEFT_ELBOW,225513
5,21.78598,407.2943,1036.7821,RIGHT_ELBOW,225513
6,-386.9684,148.00963,863.8134,LEFT_HAND,225513
7,-8.480482,631.1543,917.5855,RIGHT_HAND,225513
8,-274.7751,273.21933,958.5929,TORSO,225513
9,-402.7871,169.431,967.2304,LEFT_HIP,225513
10,-196.44678,164.79617,1055.251,RIGHT_HIP,225513
11,-410.98288,2.3894348,700.21533,LEFT_KNEE,225513
12,-319.68896,-194.2031,962.90814,RIGHT_KNEE,225513
13,-445.03183,-380.3603,1053.2781,LEFT_FOOT,225513
14,-356.88138,-564.28986,1015.21857,RIGHT_FOOT,225513
0,-178.5241,567.19507,822.4203,HEAD,225513
1,-249.93323,379.32507,905.94507,NECK,225513
2,-293.9633,380.3141,887.1627,LEFT_SHOULDER,225513
3,-205.90315,378.33606,924.7274,RIGHT_SHOULDER,225513
4,-343.07617,133.93681,828.31433,LEFT_ELBOW,225513
5,21.78598,407.2943,1036.7821,RIGHT_ELBOW,225513
6,-386.9684,148.00963,863.8134,LEFT_HAND,225513
7,-8.480482,631.1543,917.5855,RIGHT_HAND,225513
8,-274.7751,273.21933,958.5929,TORSO,225513
9,-402.7871,169.431,967.2304,LEFT_HIP,225513
10,-196.44678,164.79617,1055.251,RIGHT_HIP,225513
11,-410.98288,2.3894348,700.21533,LEFT_KNEE,225513
12,-319.68896,-194.2031,962.90814,RIGHT_KNEE,225513
13,-445.03183,-380.3603,1053.2781,LEFT_FOOT,225513
14,-356.88138,-564.28986,1015.21857,RIGHT_FOOT,225513
0,-178.5241,567.19507,822.4203,HEAD,225513
1,-249.93323,379.32507,905.94507,NECK,225513
2,-293.9633,380.3141,887.1627,LEFT_SHOULDER,225513
3,-205.90315,378.33606,924.7274,RIGHT_SHOULDER,225513
4,-343.07617,133.93681,828.31433,LEFT_ELBOW,225513
5,21.78598,407.2943,1036.7821,RIGHT_ELBOW,225513
6,-386.9684,148.00963,863.8134,LEFT_HAND,225513
7,-8.480482,631.1543,917.5855,RIGHT_HAND,225513
8,-274.7751,273.21933,958.5929,TORSO,225513
9,-402.7871,169.431,967.2304,LEFT_HIP,225513
